No00001#0,"""Inner"""
No11540#1,"""ルフターツインテール"""
No11023#1,"""ストレートラージテール"""
No00450#7,"""ラフレイヤー"""
No11560#5,"""オウガロングヘア"""
No00610#7,"""オウガショートカット"""
No00620#5,"""オリエンタルポニー"""
No00600#2,"""アルゴンウルフ"""
No00590#4,"""レンジシカツラ"""
No11041#5,"""インテークツイン"""
No11590#5,"""オラキオセミロング"""
No11580#5,"""オラキオショートカット"""
No11570#5,"""オラキオロングヘア"""
No00630#7,"""オラキオオールバック"""
No11600#5,"""ローゼンロングテール２"""
No11660#3,"""スクールショートカット"""
No00650#6,"""ナチュラルショート"""
No00580#3,"""ショートアフロ"""
No11630#5,"""ミカサショートカット"""
No11670#3,"""中分けハネショート"""
No11710#1,"""アルキュリアロング"""
No11680#5,"""ユーノーアップスタイル"""
No11850#5,"""カテドラルヴェール２"""
No11650#3,"""キャナリィループテール"""
No00660#6,"""オフィサーツーブロック"""
No11740#3,"""アクエリアフード"""
No11860#5,"""アクエリアフード２"""
No11880#5,"""アリシアツインテール"""
No11750#5,"""アリシアバンダナ"""
No00690#6,"""斎藤一総髪"""
No00680#4,"""真島吾朗カット"""
No12030#5,"""うららツインテール"""
No11790#1,"""うららヘアー"""
No11690#1,"""アルティナロング"""
No11730#5,"""ミスティロングツイン"""
No11700#5,"""サクヤロングツイン"""
No11720#5,"""ケルベロスＱポニー"""
No11820#5,"""ユキヒメショート"""
No11791#1,"""うららヘアーＢ"""
No11770#1,"""ヨシノテフラヘアー"""
No00700#7,"""テムジンヘッド１Ｐ"""
No00701#7,"""テムジンヘッドＤ"""
No00702#5,"""テムジンヘッドＲ"""
No11610#5,"""フェイ・イェンヘッド１Ｐ"""
No11611#5,"""フェイ・イェンヘッドＤ"""
No11612#1,"""フェイ・イェンヘッドＲ"""
No00750#7,"""バードリングフェイス"""
No12020#5,"""深雪ロングヘア"""
No00730#3,"""達也ショートヘア"""
No00760#7,"""ナイトギアフェイス"""
No12040#5,"""１０年前のマトイの髪型"""
No11780#1,"""先代【若人】の髪型"""
No11760#5,"""ミクライブ専用移植髪型"""
No11830#5,"""ルカライブ専用移植髪型"""
No11870#5,"""ユクリータ子供時代用髪型"""
No50001#7,"""ワスプ・ヘッド"""
No50002#7,"""ディール・ヘッド"""
No50003#9,"""ローズ・ヘッド"""
No50004#9,"""ファーネン・ヘッド"""
No50005#7,"""ランクス・ヘッド"""
No50006#7,"""イオニア・ヘッド"""
No50007#7,"""フリーゲン・ヘッド"""
No50008#7,"""メディウム・ヘッド"""
No50009#7,"""イルシオン・ヘッド"""
No50010#7,"""ラミア・ヘッド"""
No50030#7,"""ディール・ヘッドＣＶ"""
No50040#7,"""ローズ・ヘッドＣＶ"""
No50050#7,"""ファーネン・ヘッドＣＶ"""
No50070#7,"""イオニア・ヘッドＣＶ"""
No50060#7,"""ランクス・ヘッドＣＶ"""
No50100#7,"""イルシオン・ヘッドＣＶ"""
No50020#7,"""ワスプ・ヘッドＣＶ"""
No50110#7,"""ラミア・ヘッドＣＶ"""
No50080#7,"""フリーゲン・ヘッドＣＶ"""
No50090#7,"""メディウム・ヘッドＣＶ"""
No50160#7,"""グリース・ヘッド"""
No50161#7,"""グリース・ヘッドＣＶ"""
No50190#7,"""ケルビナ・ヘッド"""
No50191#7,"""ケルビナ・ヘッドＣＶ"""
No50170#7,"""ヒルベルト・ヘッド"""
No50171#7,"""ヒルベルト・ヘッドＣＶ"""
No50120#7,"""ヘルマ・ヘッド"""
No50121#7,"""ヘルマ・ヘッドＣＶ"""
No50210#7,"""ナジン・ヘッド"""
No50211#7,"""ナジン・ヘッドＣＶ"""
No50043#7,"""ローズマリー・ヘッド"""
No50230#7,"""アルビダ・ヘッド"""
No50231#7,"""アルビダ・ヘッドＣＶ"""
No50250#7,"""ウィグナー・ヘッド"""
No50251#7,"""ウィグナー・ヘッドＣＶ"""
No50280#7,"""リジェラン・ヘッド"""
No50281#7,"""リジェラン・ヘッドＣＶ"""
No50290#7,"""バイラリン・ヘッド"""
No50291#7,"""バイラリン・ヘッドＣＶ"""
No50044#7,"""ローズマリー・ヘッドＣＶ"""
No50300#7,"""レヴァイア・ヘッド"""
No50260#7,"""Ｒイノセンテ・ヘッド"""
No50261#7,"""Ｒイノセンテ・ヘッドＣＶ"""
No50310#7,"""ピオニア・ヘッド"""
No50311#7,"""ピオニア・ヘッドＣＶ"""
No50320#7,"""コーブレス・ヘッド"""
No50321#7,"""コーブレス・ヘッドＣＶ"""
human_male_0#0,"""Youthful"""
human_male_1#0,"""Mature"""
human_male_2#0,"""Elderly"""
human_male_3#0,"""Young"""
human_male_4#0,"""Middle-Aged"""
newman_male_0#0,"""Youthful"""
newman_male_1#0,"""Mature"""
newman_male_2#0,"""Elderly"""
newman_male_3#0,"""Young"""
newman_male_4#0,"""Middle-Aged"""
newman_male_5#0,"""Young Short Ear"""
newman_male_6#0,"""Youthful Short Ear"""
newman_male_7#0,"""Middle-Aged Short Ear"""
newman_male_8#0,"""Mature Short Ear"""
newman_male_9#0,"""Elderly Short Ear"""
cast_male_0#0,"""Dista Head"""
cast_male_1#0,"""Ronia Head"""
cast_male_2#0,"""Phauma Head"""
cast_male_3#0,"""Colossus Head"""
cast_male_4#0,"""Angriff Head"""
cast_male_5#0,"""Youthful"""
cast_male_6#0,"""Mature"""
cast_male_7#0,"""Elderly"""
cast_male_8#0,"""Young"""
cast_male_9#0,"""Middle-Aged"""
cast_male_10#0,"""Joker Head"""
cast_male_11#0,"""Magius Head"""
cast_male_12#0,"""Sheriff Head"""
cast_male_13#0,"""Balder Head"""
cast_male_14#0,"""Melder Head"""
cast_male_15#0,"""Dista Head CV"""
cast_male_16#0,"""Ronia Head CV"""
cast_male_17#0,"""Phauma Head CV"""
cast_male_19#0,"""Angriff Head CV"""
cast_male_20#0,"""Colossus Head CV"""
cast_male_21#0,"""Magius Head CV"""
cast_male_22#0,"""Sheriff Head CV"""
cast_male_23#0,"""Balder Head CV"""
cast_male_25#0,"""Joker Head CV"""
cast_male_26#0,"""Filph Head"""
cast_male_27#0,"""Filph Head CV"""
cast_male_28#0,"""Gouboid Head"""
cast_male_30#0,"""Araoh Head"""
cast_male_34#0,"""Hurion Head"""
cast_male_35#0,"""Hurion Head CV"""
cast_male_36#0,"""O-Frame Head"""
cast_male_37#0,"""Divarius F Head"""
cast_male_38#0,"""Belga Head"""
cast_male_39#0,"""Melder Head CV"""
cast_male_40#0,"""Gouboid Head CV"""
cast_male_41#0,"""Araoh Head CV"""
cast_male_42#0,"""Drake Head"""
cast_male_43#0,"""Legia Head"""
cast_male_44#0,"""Divarius F Head CV"""
cast_male_45#0,"""Justice A Head"""
cast_male_46#0,"""Divine K Head"""
cast_male_47#0,"""Everett Head"""
cast_male_58#0,"""Everett Head CV"""
cast_male_48#0,"""Bay Barrel Head"""
cast_male_49#0,"""Belga Head CV"""
cast_male_50#0,"""Guardi Head"""
cast_male_51#0,"""Nemethyst Head"""
cast_male_52#0,"""Legia Head CV"""
cast_male_53#0,"""Drake Head CV"""
cast_male_54#0,"""Rizer F Head"""
cast_male_55#0,"""O-Frame Head CV"""
cast_male_56#0,"""Justice A Head CV"""
cast_male_57#0,"""Devine K Head CV"""
cast_male_59#0,"""Graneida Head"""
cast_male_60#0,"""Gurmica Head"""
cast_male_62#0,"""Bay Barrel Head CV"""
cast_male_63#0,"""Guardi Head CV"""
dewman_male_0#0,"""Youthful"""
dewman_male_1#0,"""Mature"""
dewman_male_2#0,"""Elderly"""
dewman_male_3#0,"""Young"""
dewman_male_4#0,"""Middle-Aged"""
human_female_0#0,"""Youthful"""
human_female_1#0,"""Mature"""
human_female_2#0,"""Baby-Faced"""
human_female_3#0,"""Deformed Face"""
newman_female_0#0,"""Youthful"""
newman_female_1#0,"""Mature"""
newman_female_2#0,"""Baby-Faced"""
newman_female_6#0,"""Deformed Face"""
newman_female_3#0,"""Baby-Faced Short Ear"""
newman_female_4#0,"""Youthful Short Ear"""
newman_female_5#0,"""Mature Short Ear"""
newman_female_7#0,"""Deformed Face"""
cast_female_0#0,"""Normal"""
cast_female_1#0,"""Mask"""
cast_female_2#0,"""Baby-Faced"""
cast_female_3#0,"""Lamia Face"""
cast_female_4#0,"""Deformed Face"""
dewman_female_0#0,"""Youthful"""
dewman_female_1#0,"""Mature"""
dewman_female_2#0,"""Baby-Faced"""
dewman_female_3#0,"""Deformed Face"""
human_male_0#1,"""青年"""
human_male_1#1,"""壮年"""
human_male_2#1,"""老年"""
human_male_3#1,"""少年"""
human_male_4#1,"""中年"""
newman_male_0#1,"""青年"""
newman_male_1#1,"""壮年"""
newman_male_2#1,"""老年"""
newman_male_3#1,"""少年"""
newman_male_4#1,"""中年"""
newman_male_5#1,"""少年短耳"""
newman_male_6#1,"""青年短耳"""
newman_male_7#1,"""中年短耳"""
newman_male_8#1,"""壮年短耳"""
newman_male_9#1,"""老年短耳"""
cast_male_0#1,"""ディスタ・ヘッド"""
cast_male_1#1,"""ロニア・ヘッド"""
cast_male_2#1,"""ファウマ・ヘッド"""
cast_male_3#1,"""コロッサス・ヘッド"""
cast_male_4#1,"""アングリフ・ヘッド"""
cast_male_5#1,"""青年"""
cast_male_6#1,"""壮年"""
cast_male_7#1,"""老年"""
cast_male_8#1,"""少年"""
cast_male_9#1,"""中年"""
cast_male_10#1,"""ジョーカ・ヘッド"""
cast_male_11#1,"""マギウス・ヘッド"""
cast_male_12#1,"""シェリフ・ヘッド"""
cast_male_13#1,"""バルドル・ヘッド"""
cast_male_14#1,"""メルダー・ヘッド"""
cast_male_15#1,"""ディスタ・ヘッドＣＶ"""
cast_male_16#1,"""ロニア・ヘッドＣＶ"""
cast_male_17#1,"""ファウマ・ヘッドＣＶ"""
cast_male_19#1,"""アングリフ・ヘッドＣＶ"""
cast_male_20#1,"""コロッサス・ヘッドＣＶ"""
cast_male_21#1,"""マギウス・ヘッドＣＶ"""
cast_male_22#1,"""シェリフ・ヘッドＣＶ"""
cast_male_23#1,"""バルドル・ヘッドＣＶ"""
cast_male_25#1,"""ジョーカ・ヘッドＣＶ"""
cast_male_26#1,"""フィルフ・ヘッド"""
cast_male_27#1,"""フィルフ・ヘッドＣＶ"""
cast_male_28#1,"""ゴウボイド・ヘッド"""
cast_male_30#1,"""アラオ・ヘッド"""
cast_male_34#1,"""ヒュリオン・ヘッド"""
cast_male_35#1,"""ヒュリオン・ヘッドＣＶ"""
cast_male_36#1,"""Ｏフレーム・ヘッド"""
cast_male_37#1,"""ディヴァリースＦ・ヘッド"""
cast_male_38#1,"""ベルガ・ヘッド"""
cast_male_39#1,"""メルダー・ヘッドＣＶ"""
cast_male_40#1,"""ゴウボイド・ヘッドＣＶ"""
cast_male_41#1,"""アラオ・ヘッドＣＶ"""
cast_male_42#1,"""ドレーク・ヘッド"""
cast_male_43#1,"""レギア・ヘッド"""
cast_male_44#1,"""ディヴァリースＦ・ヘッドＣＶ"""
cast_male_45#1,"""ジャスティスＡ・ヘッド"""
cast_male_46#1,"""ディバインＫ・ヘッド"""
cast_male_47#1,"""エヴァレット・ヘッド"""
cast_male_58#1,"""エヴァレット・ヘッドＣＶ"""
cast_male_48#1,"""ベイバレル・ヘッド"""
cast_male_49#1,"""ベルガ・ヘッドＣＶ"""
cast_male_50#1,"""グアルディ・ヘッド"""
cast_male_51#1,"""ネメジスト・ヘッド"""
cast_male_52#1,"""レギア・ヘッドＣＶ"""
cast_male_53#1,"""ドレーク・ヘッドＣＶ"""
cast_male_54#1,"""ライザーＦ・ヘッド"""
cast_male_55#1,"""Ｏフレーム・ヘッドＣＶ"""
cast_male_56#1,"""ジャスティスＡ・ヘッドＣＶ"""
cast_male_57#1,"""ディバインＫ・ヘッドＣＶ"""
cast_male_59#1,"""グラニーダ・ヘッド"""
cast_male_60#1,"""グルマイカ・ヘッド"""
cast_male_62#1,"""ベイバレル・ヘッドＣＶ"""
cast_male_63#1,"""グアルディ・ヘッドＣＶ"""
dewman_male_0#1,"""青年"""
dewman_male_1#1,"""壮年"""
dewman_male_2#1,"""老年"""
dewman_male_3#1,"""少年"""
dewman_male_4#1,"""中年"""
human_female_0#1,"""若年"""
human_female_1#1,"""壮年"""
human_female_2#1,"""幼顔"""
human_female_3#1,"""デフォルメ顔"""
newman_female_0#1,"""若年"""
newman_female_1#1,"""壮年"""
newman_female_2#1,"""幼顔"""
newman_female_6#1,"""デフォルメ顔"""
newman_female_3#1,"""幼顔短耳"""
newman_female_4#1,"""若年短耳"""
newman_female_5#1,"""壮年短耳"""
newman_female_7#1,"""デフォルメ顔短耳"""
cast_female_0#1,"""ノーマルタイプ"""
cast_female_1#1,"""マスクタイプ"""
cast_female_2#1,"""幼顔"""
cast_female_3#1,"""ラミア・フェイス"""
cast_female_4#1,"""デフォルメ顔"""
dewman_female_0#1,"""若年"""
dewman_female_1#1,"""壮年"""
dewman_female_2#1,"""幼顔"""
dewman_female_3#1,"""デフォルメ顔"""
No00000#8,"""Type A"""
No00010#8,"""Type B"""
No00020#8,"""Type C"""
No05000#4,"""Type A"""
No05010#2,"""Type B"""
No05020#2,"""Type C"""
No10000#2,"""Type A"""
No10010#2,"""Type B"""
No15000#2,"""Type A"""
No15010#0,"""Type B"""
No00000#9,"""タイプA"""
No00010#9,"""タイプB"""
No00020#9,"""タイプC"""
No05000#5,"""タイプA"""
No05010#3,"""タイプB"""
No05020#3,"""タイプC"""
No10000#3,"""タイプA"""
No10010#3,"""タイプB"""
No15000#3,"""タイプA"""
No15010#1,"""タイプB"""
No00000#10,"""None"""
No00020#10,"""White Faceguard"""
No00021#8,"""Gray Faceguard"""
No00022#8,"""Black Faceguard"""
No00030#4,"""Nose Bandage"""
No00040#6,"""Tattoos"""
No00050#4,"""Facial Hair 1"""
No00060#6,"""Facial Hair 2"""
No00070#6,"""Face Paint"""
No00080#4,"""Camouflage Paint"""
No00081#2,"""Skull Paint"""
No00082#2,"""Unshaven"""
No00090#4,"""Pretty Flowers"""
No00100#6,"""Scar 1"""
No00101#6,"""Scar 2"""
No00102#6,"""Scar 3"""
No00103#6,"""Scar 4"""
No00104#4,"""Scar 5"""
No00105#4,"""Scar 6"""
No10010#4,"""Freckles"""
No10001#4,"""Natural Makeup"""
No10020#6,"""Model Makeup"""
No10030#0,"""Heavy Makeup"""
No10040#2,"""Red Lipstick"""
No10041#2,"""Dark Red Lipstick"""
No10042#2,"""Light Red Lipstick"""
No10043#2,"""Orange Lipstick"""
No10044#1,"""Green Lipstick"""
No10045#0,"""Blue Lipstick"""
No10046#0,"""Purple Lipstick"""
No10047#0,"""Black Lipstick"""
No40000#0,"""Type A Lines"""
No40001#8,"""Type B Lines"""
No40002#8,"""Type C Lines"""
No00110#4,"""Phantom Q Make-up"""
No10050#2,"""Bridal Make-up"""
No10060#2,"""Party Make-up Blue"""
No10061#2,"""Party Make-up Purple"""
No10062#2,"""Party Make-up Red"""
No10070#2,"""Cheek Star Red"""
No10071#2,"""Cheek Star White"""
No10072#2,"""Cheek Star Black"""
No00120#6,"""White Make-up"""
No00140#2,"""Cheek Crimson"""
No00150#4,"""Cheek Dye"""
No00160#4,"""Spiral Cheek"""
No00170#2,"""Cat Whiskers Paint Black"""
No00171#2,"""Cat Whiskers Paint Red"""
No00190#6,"""Beauty Mark A"""
No00191#0,"""Beauty Mark B"""
No00200#4,"""Tragic Mark A"""
No00201#2,"""Tragic Mark B"""
No00210#6,"""Spell Sign A Blue"""
No00211#4,"""Spell Sign A Purple"""
No00212#2,"""Spell Sign A Red"""
No00220#10,"""Spell Sign B Blue"""
No00221#8,"""Spell Sign B Purple"""
No00222#6,"""Spell Sign B Red"""
No00230#8,"""Elemental Star Blue"""
No00231#6,"""Elemental Star Purple"""
No00232#4,"""Elemental Star Red"""
No00250#8,"""Bal Lodos Make-up"""
No00260#4,"""Halloween Make-up"""
No00261#4,"""Black Halloween Make-up"""
No00270#8,"""Gothic Clown"""
No00240#8,"""Blaze Make-up Blue"""
No00242#4,"""Blaze Make-up Red"""
No00280#6,"""Native Make-up A Red"""
No00281#4,"""Native Make-up A Red-White"""
No00290#8,"""Native Make-up B Red"""
No00291#8,"""Native Make-up B White"""
No10110#2,"""Natural Make-up B"""
No10120#4,"""Natural Make-up C"""
No00310#8,"""Panda Make-up"""
No00320#5,"""Poor Bear"""
No00300#8,"""Cheek Fire Red"""
No00301#6,"""Cheek Fire Black"""
No00302#6,"""Cheek Fire Purple"""
No00330#6,"""O-Paint"""
No00340#4,"""X-Paint"""
No00350#6,"""Zodiac - Ox"""
No00420#7,"""Blood Makeup A"""
No00430#6,"""Blood Makeup B"""
No00440#6,"""Blood Makeup C"""
No00400#8,"""Embarrassed Blush"""
No00410#6,"""Pale Face"""
No00450#8,"""Cheek Heart Red"""
No00451#6,"""Cheek Heart Pink"""
No00460#8,"""Cheek Diamond Red"""
No00461#2,"""Cheek Diamond Pink"""
No00360#4,"""Kumadori A"""
No00370#8,"""Kumadori B"""
No00380#6,"""Crimson Eyeshadow Large"""
No00390#6,"""Crimson Eyeshadow Small"""
No00470#8,"""Cheek Spade Black"""
No00471#6,"""Cheek Spade Blue"""
No00480#6,"""Cheek Club Black"""
No00481#4,"""Cheek Club Blue"""
No10130#4,"""Natural Makeup D"""
No00490#6,"""Blood Vessel Makeup"""
No00500#6,"""Dead Makeup Blue"""
No00501#4,"""Dead Makeup Green"""
No00520#8,"""Kiss Mark Red"""
No00521#6,"""Kiss Mark Black"""
No00510#6,"""Colorful Stars"""
No00550#8,"""Goro Majima Beard"""
No00530#6,"""Burn Scar"""
No00540#4,"""Bit Shy"""
No00561#0,"""Red Rose Makeup"""
No00560#8,"""Purple Rose Makeup"""
No00000#11,"""なし"""
No00020#11,"""フェイスガード 白"""
No00021#9,"""フェイスガード 灰"""
No00022#9,"""フェイスガード 黒"""
No00030#5,"""鼻ばんそうこう"""
No00040#7,"""タトゥー"""
No00050#5,"""ヒゲ1"""
No00060#7,"""ヒゲ2"""
No00070#7,"""隈取"""
No00080#5,"""カモフラージュペイント"""
No00081#3,"""ドクロペイント"""
No00082#3,"""無精ひげ"""
No00090#5,"""プリティーフラワー"""
No00100#7,"""傷跡1"""
No00101#7,"""傷跡2"""
No00102#7,"""傷跡3"""
No00103#7,"""傷跡4"""
No00104#5,"""傷跡5"""
No00105#5,"""傷跡6"""
No10010#5,"""ソバカス"""
No10001#5,"""ナチュラルメイク"""
No10020#7,"""モデルメイク"""
No10030#1,"""濃いメイク"""
No10040#3,"""リップカラー\u3000赤"""
No10041#3,"""リップカラー\u3000紅"""
No10042#3,"""リップカラー\u3000薄紅"""
No10043#3,"""リップカラー\u3000橙"""
No10044#2,"""リップカラー\u3000緑"""
No10045#1,"""リップカラー\u3000青"""
No10046#1,"""リップカラー\u3000紫"""
No10047#1,"""リップカラー\u3000黒"""
No40000#1,"""ラインタイプA"""
No40001#9,"""ラインタイプB"""
No40002#9,"""ラインタイプC"""
No00110#5,"""ファントムＱ・メイク"""
No10050#3,"""ブライダルメイク"""
No10060#3,"""パーティーメイク\u3000青"""
No10061#3,"""パーティーメイク\u3000紫"""
No10062#3,"""パーティーメイク\u3000赤"""
No10070#3,"""チークスター\u3000赤"""
No10071#3,"""チークスター\u3000白"""
No10072#3,"""チークスター\u3000黒"""
No00120#7,"""白化粧"""
No00140#3,"""頬紅"""
No00150#5,"""頬染め"""
No00160#5,"""ぐるぐるほっぺ"""
No00170#3,"""猫ひげペイント黒"""
No00171#3,"""猫ひげペイント赤"""
No00190#7,"""艶ぼくろＡ"""
No00191#1,"""艶ぼくろＢ"""
No00200#5,"""泣きぼくろＡ"""
No00201#3,"""泣きぼくろＢ"""
No00210#7,"""スペルサインＡ\u3000青"""
No00211#5,"""スペルサインＡ\u3000紫"""
No00212#3,"""スペルサインＡ\u3000赤"""
No00220#11,"""スペルサインＢ\u3000青"""
No00221#9,"""スペルサインＢ\u3000紫"""
No00222#7,"""スペルサインＢ\u3000赤"""
No00230#9,"""エレメンタルスター青"""
No00231#7,"""エレメンタルスター紫"""
No00232#5,"""エレメンタルスター赤"""
No00250#9,"""バル・ロドスメイク"""
No00260#5,"""ハロウィンメイク"""
No00261#5,"""ブラックハロウィンメイク"""
No00270#9,"""ゴシックピエロ"""
No00240#9,"""ブレイズメイク青"""
No00242#5,"""ブレイズメイク赤"""
No00280#7,"""ネイティヴメイクＡ\u3000赤"""
No00281#5,"""ネイティヴメイクＡ\u3000赤白"""
No00290#9,"""ネイティヴメイクＢ\u3000赤"""
No00291#9,"""ネイティヴメイクＢ\u3000白"""
No10110#3,"""ナチュラルメイクＢ"""
No10120#5,"""ナチュラルメイクＣ"""
No00310#9,"""パンダメイク"""
No00320#6,"""目のクマ"""
No00300#9,"""チークファイア\u3000赤"""
No00301#7,"""チークファイア\u3000黒"""
No00302#7,"""チークファイア\u3000紫"""
No00330#7,"""○ペイント"""
No00340#5,"""×ペイント"""
No00350#7,"""干支ペイント\u3000午"""
No00420#8,"""血のりメイクＡ"""
No00430#7,"""血のりメイクＢ"""
No00440#7,"""血のりメイクＣ"""
No00400#9,"""照れ赤面"""
No00410#7,"""顔面蒼白"""
No00450#9,"""チークハート\u3000赤"""
No00451#7,"""チークハート\u3000ピンク"""
No00460#9,"""チークダイヤ\u3000赤"""
No00461#3,"""チークダイヤ\u3000ピンク"""
No00360#5,"""くまどりＡ"""
No00370#9,"""くまどりＢ"""
No00380#7,"""目尻紅\u3000大"""
No00390#7,"""目尻紅\u3000小"""
No00470#9,"""チークスペード\u3000黒"""
No00471#7,"""チークスペード\u3000青"""
No00480#7,"""チーククラブ\u3000黒"""
No00481#5,"""チーククラブ\u3000青"""
No10130#5,"""ナチュラルメイクＤ"""
No00490#7,"""血管メイク"""
No00500#7,"""亡者メイク\u3000青"""
No00501#5,"""亡者メイク\u3000緑"""
No00520#9,"""キスマーク\u3000赤"""
No00521#7,"""キスマーク\u3000黒"""
No00510#7,"""カラフルスター"""
No00550#9,"""真島吾朗ヒゲ"""
No00530#7,"""火傷跡"""
No00540#5,"""微照れ"""
No00561#1,"""レッドローズメイク"""
No00560#9,"""パープルローズメイク"""
No00000#12,"""Type A"""
No00001#10,"""Type B"""
No10000#4,"""Type C"""
No10001#6,"""Type D"""
No10002#4,"""Type E"""
No10010#6,"""Type F"""
No10011#6,"""Type G"""
No10012#4,"""Type H"""
No10020#8,"""Type I"""
No10021#6,"""Type J"""
No10022#2,"""Type K"""
No10030#2,"""Type L"""
No10031#4,"""Type M"""
No10032#2,"""Type N"""
No55000#0,"""Type A"""
No55010#0,"""Type B"""
No55020#0,"""Type C"""
No55030#0,"""Type D"""
No55040#0,"""Type E"""
No10040#4,"""Deformed Eyelashes Black"""
No10041#4,"""Deformed Eyelashes Blue"""
No10042#4,"""Deformed Eyelashes Brown"""
No10050#4,"""Sharp Eyelashes Black"""
No10051#2,"""Sharp Eyelashes Blue"""
No10052#2,"""Sharp Eyelashes Brown"""
No10060#4,"""Double-fold Eyelids Black"""
No10061#4,"""Double-fold Eyelids Blue"""
No10062#4,"""Double-fold Eyelids Brown"""
No10080#2,"""Fine Eyelashes A Black"""
No10081#2,"""Fine Eyelashes A Navy Blue"""
No10082#2,"""Fine Eyelashes A Brown"""
No10083#2,"""Fine Eyelashes A White"""
No10090#4,"""Fine Eyelashes B Black"""
No10091#4,"""Fine Eyelashes B Navy Blue"""
No10092#4,"""Fine Eyelashes B Brown"""
No10093#2,"""Fine Eyelashes B White"""
No10100#6,"""Cat Eyelashes Black"""
No10101#4,"""Cat Eyelashes Navy Blue"""
No10102#4,"""Cat Eyelashes Brown"""
No10103#4,"""Cat Eyelashes White"""
No10110#4,"""Anime Eyelashes Black"""
No10111#0,"""Anime Eyelashes Navy Blue"""
No10112#0,"""Anime Eyelashes Brown"""
No10113#0,"""Anime Eyelashes White"""
No10070#4,"""Gaudy Eyelash Black"""
No10071#4,"""Gaudy Eyelash Blue"""
No10072#4,"""Gaudy Eyelash Brown"""
No10073#2,"""Gaudy Eyelash White"""
No10130#6,"""Thin Eyelashes Black"""
No10131#2,"""Thin Eyelashes Blue"""
No10132#2,"""Thin Eyelashes Brown"""
No10133#2,"""Thin Eyelashes White"""
No10140#4,"""Slit Eyelashes Black"""
No10141#2,"""Slit Eyelashes Blue"""
No10142#2,"""Slit Eyelashes Brown"""
No10143#2,"""Slit Eyelashes White"""
No10043#4,"""Deformed Eyelashes White"""
No10063#2,"""Double-fold Eyelids White"""
No10053#2,"""Sharp Eyelashes White"""
No10150#4,"""Double Deformed Eyelashes Black"""
No10151#2,"""Double Deformed Eyelashes Blue"""
No10152#2,"""Double Deformed Eyelashes Brown"""
No10153#2,"""Double Deformed Eyelashes White"""
No10160#4,"""Low Eyelashes Black"""
No10161#2,"""Low Eyelashes Blue"""
No10162#2,"""Low Eyelashes Brown"""
No10163#2,"""Low Eyelashes White"""
No00002#6,"""Type A White"""
No00003#6,"""Type B White"""
No10003#4,"""Type C White"""
No10004#4,"""Type D White"""
No10005#4,"""Type E White"""
No10013#2,"""Type F White"""
No10014#2,"""Type G White"""
No10015#2,"""Type H White"""
No10023#4,"""Type I White"""
No10024#4,"""Type J White"""
No10025#4,"""Type K White"""
No10033#4,"""Type L White"""
No10034#0,"""Type M White"""
No10035#0,"""Type N White"""
No00000#13,"""タイプA"""
No00001#11,"""タイプB"""
No10000#5,"""タイプC"""
No10001#7,"""タイプD"""
No10002#5,"""タイプE"""
No10010#7,"""タイプＦ"""
No10011#7,"""タイプＧ"""
No10012#5,"""タイプＨ"""
No10020#9,"""タイプＩ"""
No10021#7,"""タイプＪ"""
No10022#3,"""タイプＫ"""
No10030#3,"""タイプＬ"""
No10031#5,"""タイプＭ"""
No10032#3,"""タイプＮ"""
No55000#1,"""タイプA"""
No55010#1,"""タイプB"""
No55020#1,"""タイプC"""
No55030#1,"""タイプD"""
No55040#1,"""タイプE"""
No10040#5,"""デフォルメまつげ\u3000黒"""
No10041#5,"""デフォルメまつげ\u3000青"""
No10042#5,"""デフォルメまつげ\u3000茶"""
No10050#5,"""くっきりまつげ\u3000黒"""
No10051#3,"""くっきりまつげ\u3000青"""
No10052#3,"""くっきりまつげ\u3000茶"""
No10060#5,"""二重まぶた\u3000黒"""
No10061#5,"""二重まぶた\u3000青"""
No10062#5,"""二重まぶた\u3000茶"""
No10080#3,"""細まつげＡ\u3000黒"""
No10081#3,"""細まつげＡ\u3000紺"""
No10082#3,"""細まつげＡ\u3000茶"""
No10083#3,"""細まつげＡ\u3000白"""
No10090#5,"""細まつげＢ\u3000黒"""
No10091#5,"""細まつげＢ\u3000紺"""
No10092#5,"""細まつげＢ\u3000茶"""
No10093#3,"""細まつげＢ\u3000白"""
No10100#7,"""強調まつげ\u3000黒"""
No10101#5,"""強調まつげ\u3000紺"""
No10102#5,"""強調まつげ\u3000茶"""
No10103#5,"""強調まつげ\u3000白"""
No10110#5,"""ふとまつげ\u3000黒"""
No10111#1,"""ふとまつげ\u3000紺"""
No10112#1,"""ふとまつげ\u3000茶"""
No10113#1,"""ふとまつげ\u3000白"""
No10070#5,"""派手まつげ\u3000黒"""
No10071#5,"""派手まつげ\u3000青"""
No10072#5,"""派手まつげ\u3000茶"""
No10073#3,"""派手まつげ\u3000白"""
No10130#7,"""薄まつげ\u3000黒"""
No10131#3,"""薄まつげ\u3000紺"""
No10132#3,"""薄まつげ\u3000茶"""
No10133#3,"""薄まつげ\u3000白"""
No10140#5,"""スリットまつげ\u3000黒"""
No10141#3,"""スリットまつげ\u3000紺"""
No10142#3,"""スリットまつげ\u3000茶"""
No10143#3,"""スリットまつげ\u3000白"""
No10043#5,"""デフォルメまつげ\u3000白"""
No10063#3,"""二重まぶた\u3000白"""
No10053#3,"""くっきりまつげ\u3000白"""
