EnemyWeak#0,"""こ、このぐらいの敵なら<br>わたしでもなんとか……"""
InvokeSkill1#47,"""見せてやるぜ！"""
InvokeSkill2#45,"""うっし、行くぜ！"""
InvokeSkill3#45,"""任せとけって！"""
PBFull#50,"""黙らせてやる！"""
PBRelease#50,"""邪魔だって言ってんだろうが！"""
Avoid#50,"""よっと！"""
HealSelf#50,"""回復はしないとな！"""
BuffSelf#50,"""補助も必要！"""
HealOther#50,"""無茶すんなって！"""
BuffOther#50,"""援護するぜ！"""
QuestStart1#50,"""さ、楽しもうぜ！"""
QuestEnd1#50,"""楽しかったな！\u3000お疲れさん！"""
IncidentStart#50,"""おっ、こりゃヤバそうだな！"""
IncidentSuccess#50,"""へへっ、やったな！"""
IncidentFailure#50,"""くっそー、イマイチな結果だぜ！"""
PSE#50,"""いいこと起きんじゃね？"""
PSELevelUp#50,"""この調子でいこうぜ！"""
PSEBurst#50,"""/toge すっげー！\u3000めちゃくちゃ<br>フォトンが活性化してんな！"""
HP30#50,"""まだ大丈夫だ！"""
HP10#50,"""ちょっとやばいか……"""
ItemRare#50,"""お、いいものゲットしたな！"""
DamageSmall#50,"""つっ"""
DamageMiddle#50,"""くっ！"""
DamageLarge#50,"""痛っ！"""
Trap#50,"""くっそ、トラップかよ！"""
ThankTrapRescue#50,"""悪い、迷惑かけた！"""
TrapRescueOther#50,"""無茶すんなよ、大丈夫か？"""
MemberDamaged#50,"""前に出すぎだって！"""
MemberDead#50,"""/toge ……よくもやりやがったな！"""
AbilityExe#50,"""この勢いでやってやるぜ！"""
AbilitySpecial#49,"""おっし、終わらせてやる！"""
Resurrect#50,"""へっ、いい気付けになったぜ！"""
PartyJoin#50,"""/ci2 1 へへっ、任せとけって"""
Marvelous#50,"""やるじゃんか！"""
IncidentJsApcBegin#46,"""/ci2 1 おっ、いいところに来たな！<br>手を貸してくれ！"""
IncidentJsApcFailure#46,"""げっ、まじかよ……<br>悪い、撤退する！"""
IncidentJsApcSuccess#46,"""/ci2 2 終わったみたいだな！<br>楽しかったぜ、またな！"""
IncidentJsApcBeginEvo#46,"""/ci2 1 もうちょい、何かありそうだな！<br>うっし、楽しもうぜ！"""
EnemyWeak#51,"""私たちの敵ではないな"""
EnemyLarge#51,"""大型か"""
EnemyBoss#51,"""強敵のようだな"""
EnemyRare#51,"""あのタイプは……珍しいヤツか"""
EnemyBoost#51,"""……気をつけろ。<br>禍々しいフォトンだ"""
DestroyEnemy1#51,"""次だ"""
DestroyEnemy2#51,"""他愛もない"""
CondFreeze#51,"""凍結状態だと……"""
CondBurn#51,"""流石に熱い、な……"""
CondShock#51,"""ふむ……<br>こう痺れていては、面倒だな"""
CondPoison#51,"""ち、毒か……！"""
CondPanic#51,"""意識が混濁する……"""
CondStan#51,"""動きを封じられた……！？"""
CondMirage#51,"""狙いが定まらないな……"""
Die#51,"""こんなところで倒れるわけには……"""
ThankHeal#51,"""助かる"""
ThankBuff#51,"""感謝する"""
ThankCure#51,"""手間をかけたな"""
DefeatEnemy#51,"""この一帯は片付いたか"""
LevelUp#51,"""いい感じだ"""
InvokeSkill1#48,"""逃がしはしない"""
InvokeSkill2#46,"""一気に決める！"""
InvokeSkill3#46,"""ラッピー、頼む！"""
TechFire#18,"""燃えろ"""
TechIce#17,"""氷よ"""
TechThunder#19,"""雷よ"""
TechWind#16,"""風よ"""
TechLight#19,"""光よ"""
TechDark#17,"""闇よ"""
PBFull#51,"""力を使うときが来たか"""
PBRelease#51,"""皆を守る。それが私の使命だ"""
Avoid#51,"""はっ"""
HealSelf#51,"""惜しかったな"""
BuffSelf#51,"""手加減はしない"""
HealOther#51,"""油断はするな"""
BuffOther#51,"""体勢を整えろ"""
QuestStart1#51,"""任務を開始する"""
QuestEnd1#51,"""流石だな"""
IncidentStart#51,"""この気配……何が来る"""
IncidentSuccess#51,"""適切な対応だったな"""
IncidentFailure#51,"""……反省点は多いな"""
PSE#51,"""これは……ＰＳＥか"""
PSELevelUp#51,"""フォトンが励起されている"""
PSEBurst#51,"""これが、ＰＳＥの最終段階か"""
HP30#51,"""ダメージを受けすぎたか"""
HP10#51,"""これ以上は、流石にまずい……"""
ItemRare#51,"""ふむ、珍しいもののようだな"""
DamageSmall#51,"""つっ"""
DamageMiddle#51,"""まずい"""
DamageLarge#51,"""きゃあっ！"""
Trap#51,"""罠だと！"""
ThankTrapRescue#51,"""手間をかけた"""
TrapRescueOther#51,"""大丈夫か？"""
MemberDamaged#51,"""無理はするな"""
MemberDead#51,"""……私が不甲斐ないばかりに"""
AbilityExe#51,"""ふむ、身体が軽いな"""
AbilitySpecial#50,"""フォトンが馴染んできたな"""
Resurrect#51,"""……立ち止まるわけにはいかない"""
PartyJoin#51,"""/ci2 1 よろしく頼む"""
Marvelous#51,"""これが貴方の力か"""
IncidentJsApcBegin#47,"""/ci1 3 良かった、手を貸してくれ。<br>む、どうした……？\u3000この装いか？<br>この時期の正装と聞いているが……"""
IncidentJsApcFailure#47,"""すまない……<br>これ以上は戦えそうにない。<br>不本意だが、先に退かせてもらう。"""
IncidentJsApcSuccess#47,"""/ci1 1 手を貸してくれて感謝する。<br>いや……確かこの場合は<br>メリークリスマス、だったか？"""
IncidentJsApcBeginEvo#47,"""/ci1 1 終わったか……？<br>……いや、まだ来るようだな。<br>もうしばらく付き合ってもらえるか？"""
EnemyWeak#52,"""ふふふ……このぐらいの相手なら<br>私一人でも十分ですわ！"""
EnemyLarge#52,"""大きければいいというものでは<br>ないんですからね！"""
EnemyBoss#52,"""うう……なんだか強そう……<br>見なかったことにしたいですわ"""
EnemyRare#52,"""あら？\u3000あちらにいらっしゃるのは<br>希少種というやつでは？"""
EnemyBoost#52,"""むむむ……<br>なんとも気味悪い気配をした<br>エネミーですわね……"""
WeatherChange#3,"""環境変化もなんのその、ですわ！"""
DestroyEnemy1#52,"""やりましたわ！"""
DestroyEnemy2#52,"""いかがです！"""
DestroyEnemy3#49,"""見ていただけました？"""
CondFreeze#52,"""水もしたたるいい女……<br>って違っ、これ凍ってる！\u3000冷たっ！"""
CondBurn#52,"""燃え上がるような情熱……<br>じゃなくてすっごく熱いんですけど！"""
CondShock#52,"""痺れるほどに、刺激的……<br>というか本当に痺れが……！"""
CondPoison#52,"""ふふっ、美女は毒を隠し持つ……<br>……私、美女じゃなくていいから<br>解毒を、解毒をー！"""
CondPanic#52,"""ふふふ……<br>今なら何にも出来なさそうな<br>そんな気がしますわ！"""
CondStan#52,"""なんと言われようとも<br>私この場を一歩も動きませんわ！<br>というか動けませんわ！"""
CondMirage#52,"""いつも夢見がちな私に幻覚なんて！<br>……あら？\u3000あそこに<br>とってもおいしそうなケーキが……"""
Die#52,"""もうだめ……休ませてください……"""
ThankHeal#52,"""感謝しますわ！"""
ThankBuff#52,"""強くなった気分ですわ！"""
ThankCure#52,"""気分爽快、というやつですわ！"""
DefeatEnemy#52,"""これにて一件落着、ですわ！<br>ささ、次の場所へ行きましょう"""
LevelUp#52,"""私にも分けていただけません？"""
InvokeSkill1#49,"""見とれてもいいですよ？"""
InvokeSkill2#47,"""これで、終わりですわ！"""
InvokeSkill3#47,"""やるときはやります！"""
PBFull#52,"""こちらは準備オッケーですわ！"""
PBRelease#52,"""力を貸してくださいね"""
TacticsFree#26,"""おまかせあれ！<br>今以上に自由に動いて<br>みせますわ！"""
TacticsGuard#26,"""おまかせあれ！<br>しっかり耐えてみせますわ！"""
TacticsMassedAttack#26,"""おまかせあれ！<br>集中攻撃といきましょう！"""
TacticsAttack#24,"""おまかせあれ！<br>って、私が囮なのですか！？"""
Avoid#52,"""華麗に回避！"""
HealSelf#52,"""まだ死にたくありませんので"""
BuffSelf#52,"""足りない力は補助でフォロー！"""
HealOther#52,"""無理はなさらないで！"""
BuffOther#52,"""能力強化もお忘れなく！"""
QuestStart1#52,"""よろしくお願いいたします"""
QuestStart2#16,"""貴方様と一緒なら<br>私、何でも出来そうな気がします！<br>まあたぶん気のせいですけど！"""
QuestEnd1#52,"""ずっと、貴方様に<br>おんぶにだっこでしたけど……<br>終わりよければ、です！"""
QuestEnd2#21,"""これにて任務完了、ですわね！"""
IncidentStart#52,"""障害を乗り越えてこその成長！<br>どんなものでもどんとこい、ですわ！"""
IncidentSuccess#52,"""やりましたね！<br>貴方様と一緒だったから楽……<br>じゃなくて、貴方様のおかげですわ！"""
IncidentFailure#52,"""うう……<br>私、足を引っ張っちゃいましたね……"""
PSE#52,"""むむっ、むむむっ！<br>これはPSEの感じですよ！"""
PSELevelUp#52,"""やりました！<br>どんどん続けていきましょう！"""
PSEBurst#52,"""お見事ですわ！<br>これが、PSEバーストです！"""
HP30#52,"""なんだかすっごく集中的に<br>狙われている気が……"""
HP10#52,"""戦力分析、出来ていますわね。<br>もっとも弱い私を叩いてくるなんて<br>……た、助けてくださーい！"""
ItemRare#52,"""いいもの拾えましたか？"""
DamageSmall#52,"""痛っ！"""
DamageMiddle#52,"""わわわっ！"""
DamageLarge#52,"""ひどいですわ……"""
Trap#52,"""ちょっ、罠とか！<br>なんでそんなのあるんです！？"""
ThankTrapRescue#52,"""た、助かりましたわ……"""
TrapRescueOther#52,"""罠に気をつけてくださいね！<br>私もさっきひっかかりそうに<br>なりましたから！"""
MemberDamaged#52,"""無理はなさらないで！"""
MemberDead#52,"""……許せません。<br>絶対に、許せませんわ！"""
AbilityExe#52,"""ふふふ、ここからが<br>私のターン、ですわ！"""
AbilitySpecial#51,"""私におまかせ、ですわ！"""
Resurrect#52,"""そろそろ起きましょうか"""
PartyJoin#52,"""/ci1 1 私、参上ですわ！"""
Marvelous#52,"""素晴らしいお手前です！"""
IncidentJsApcBegin#48,"""/mn15 /ci1 2 ああ、ちょうどいいところに！<br>この格好、貴方様に見ていただきたく<br>……ってそれどころじゃないご様子！"""
IncidentJsApcFailure#48,"""うう……これ以上はちょっと……<br>申し訳ありませんが<br>先に撤退させていただきます……"""
IncidentJsApcSuccess#48,"""/mn15 /ci2 1 この格好ならば、無敵！<br>ご感想、お待ちしております！<br>それと、メリークリスマスですわ！"""
IncidentJsApcBeginEvo#48,"""/ci1 2 ふー、ようやく落ち着いて……<br>……とは、いかないようですわね！"""
EnemyWeak#53,"""このぐらいなら大丈夫"""
EnemyLarge#53,"""わっ、大きいね！"""
EnemyBoss#53,"""強そう……だけど、負けない！"""
EnemyRare#53,"""わわっ、希少種だ！"""
EnemyBoost#53,"""……すごく、イヤな感じの敵"""
WeatherChange#4,"""大気のフォトンが騒いでる？"""
DestroyEnemy1#53,"""うん、うまくいった！"""
DestroyEnemy2#53,"""よし、いい感じ！"""
DestroyEnemy3#50,"""やったね！"""
CondFreeze#53,"""こ、凍っちゃった！？"""
CondBurn#53,"""あちっ、あちちっ！"""
CondShock#53,"""か、かか身体がしびれててて……！"""
CondPoison#53,"""うう……毒かな、気持ち悪い……"""
CondPanic#53,"""えっと、えっと、ええっとお！<br>何をどうすればいいんだっけ！<br>手当たり次第吹っ飛ばす？"""
CondStan#53,"""か、身体の自由がきかない……！"""
CondMirage#53,"""なんだか視界がぽわぽわー……"""
Die#53,"""失敗しちゃった、ごめんなさい……"""
ThankHeal#53,"""あ……ありがとう"""
ThankBuff#53,"""ふふっ、ありがとう"""
ThankCure#53,"""うう、ごめん、ありがとう"""
DefeatEnemy#53,"""終わったって感じだね"""
LevelUp#53,"""あっ、おめでとう！"""
InvokeSkill1#50,"""思い切り、いくよっ！"""
InvokeSkill2#48,"""はああああっ！"""
InvokeSkill3#48,"""これで終わらせるから！"""
TechFire#19,"""できることを、精一杯！"""
TechIce#18,"""負けないからっ！"""
TechThunder#20,"""手加減、しないからねっ！"""
TechWind#17,"""切り裂いてっ！"""
TechLight#20,"""光よ"""
TechDark#18,"""撃ち抜けっ！"""
PBFull#53,"""<%me>！<br>わたしたちも準備できてるよ！"""
PBRelease#53,"""わたしはもう……ひとりじゃないからっ！"""
TacticsFree#27,"""うん、わかった！<br>自由に動いてみるね！"""
TacticsGuard#27,"""ここは辛抱のしどころってことだね<br>まかせて、待つのは得意だよ！"""
TacticsMassedAttack#27,"""狙いを集中させる……<br>うん、わかったよ！"""
TacticsAttack#25,"""わたしが囮になるから<br>その隙にお願い！"""
Avoid#53,"""それっ！"""
HealSelf#53,"""回復回復っと"""
BuffSelf#53,"""補助を忘れちゃダメだよね"""
HealOther#53,"""大丈夫？<br>無理はしないでね"""
BuffOther#53,"""あ、待ってて<br>補助もかけちゃうから"""
QuestStart1#53,"""よーっし、がんばるよー！"""
QuestStart2#17,"""貴方と一緒なら……うん<br>ぜったいに、大丈夫！"""
QuestEnd1#53,"""すっごい頼もしかったよ！"""
QuestEnd2#22,"""すごいすごい！\u3000すごいよ！"""
IncidentStart#53,"""えっ、何、何が起きてるの？"""
IncidentSuccess#53,"""よかった、なんとかなったね"""
IncidentFailure#53,"""うう……ごめんなさい……<br>足、ひっぱっちゃった……"""
PSE#53,"""フォトンの感じが変わった……<br>PSEってやつなのかな？"""
PSELevelUp#53,"""なんだか続いてるみたいだね！<br>もっともっと、がんばろう！"""
PSEBurst#53,"""わぁ……これがPSEバーストって<br>やつなんだね、すごい！"""
HP30#53,"""うっ……ま、まだまだ<br>まだ大丈夫だよ、わたし！"""
HP10#53,"""……ううっ！<br>ごめん、ちょっとまずいかも……"""
ItemRare#53,"""あっ、それって<br>珍しいものだよね？"""
DamageSmall#53,"""いたっ！"""
DamageMiddle#53,"""痛っ！"""
DamageLarge#53,"""わわわっ！"""
Trap#53,"""えっ、えっ、罠っ！？"""
ThankTrapRescue#53,"""ごめんなさい……<br>すっごく助かった"""
TrapRescueOther#53,"""大丈夫？<br>罠には気をつけてね"""
MemberDamaged#53,"""無理せず下がって！<br>大丈夫、わたしもいるから！"""
MemberDead#53,"""そんなっ！<br>こんなことになるなんて……！"""
AbilityExe#53,"""うん、がんばっちゃうからね！"""
AbilitySpecial#52,"""よーし、がんばっちゃうぞー！"""
Resurrect#53,"""今度は頑張るよー！"""
PartyJoin#53,"""/ci1 1 よろしくね！"""
Marvelous#53,"""すごい！\u3000わたしもがんばらないと！"""
IncidentJsApcBegin#49,"""/mn9 /ci2 2 あ、<%me>！<br>えっと……探してたんだけど……<br>と、とりあえず手伝ってもらえるかな！"""
IncidentJsApcFailure#49,"""うう……ごめん……<br>一緒にクリスマスお祝い<br>したかったんだけど……"""
IncidentJsApcSuccess#49,"""/mn6 /ci2 1 ふう、なんとかなったね……<br>それでさ、えっと……この服なんだけど<br>ええっと……メリークリスマスっ！"""
IncidentJsApcBeginEvo#49,"""/ci3 2 ふう、これでようやく……って<br>まだヘンな気配が残ってる……！<br>……もう！\u3000やりたいことあるのに！"""
EnemyWeak#54,"""よっしゃ、弱いの来たな！"""
EnemyLarge#54,"""/toge あんなのは、ただのデカブツ<br>ぶっ潰すだけだ！"""
EnemyBoss#54,"""/toge 強敵登場、ってヤツだな！<br>気をつけろよ！"""
EnemyRare#54,"""なかなかお目にかかれないヤツだな！"""
EnemyBoost#54,"""おいおいおい、ありゃなんだ？<br>気合の入り方が違うぞ！"""
DestroyEnemy1#54,"""どうよ！"""
DestroyEnemy2#54,"""よっしゃ、次！"""
DestroyEnemy3#51,"""どんどん行くぜ！"""
CondFreeze#54,"""くっそ、凍結かよ……！"""
CondBurn#54,"""うおっ！<br>燃えてんじゃねえか！"""
CondShock#54,"""ぐっ……身体が痺れちまった！"""
CondPoison#54,"""毒なんてしゃらくせえ！"""
CondPanic#54,"""っと、どうすりゃいいんだ！？"""
CondStan#54,"""何っ！？\u3000身体が動かねえ！"""
CondMirage#54,"""視界を奪うとか卑怯だろ！<br>正々堂々と戦え！"""
Die#54,"""ちくしょう、やられちまった！"""
ThankHeal#54,"""回復、ありがとな！"""
ThankBuff#54,"""よっしゃ、気が効くな！"""
ThankCure#54,"""ありがとな、すっきりしたぜ！"""
DefeatEnemy#54,"""ここは片付いたな！<br>先に進もうぜ！"""
LevelUp#54,"""またレベルが上がったみたいだな！"""
InvokeSkill1#51,"""/toge ここで決めてやる！"""
InvokeSkill2#49,"""やってやる！"""
InvokeSkill3#49,"""/toge 全力でいくぜ！"""
PBFull#54,"""本気を出す！"""
PBRelease#54,"""/toge 相手にとって、不足はねぇ！"""
Avoid#54,"""はっ！"""
HealSelf#54,"""回復も必要ってな！"""
BuffSelf#54,"""準備を忘れずに、ってな！"""
HealOther#54,"""無茶すんなって！"""
BuffOther#54,"""これでバッチリだぜ！"""
QuestStart1#54,"""さあ、やってやろうぜ！"""
QuestEnd1#54,"""/toge 楽しかったな！<br>また一緒に行こうぜ！"""
IncidentStart#54,"""むっ！？\u3000何か来るぞ！"""
IncidentSuccess#54,"""最高の結果だな！"""
IncidentFailure#54,"""やれやれ……<br>納得できねえ結果だぜ。"""
PSE#54,"""お、フォトンが<br>活性化してきたみたいだな！"""
PSELevelUp#54,"""このまま暴れとけって話だ！<br>続けんぞ！"""
PSEBurst#54,"""/toge すっげーな、これ！<br>うおおおお！\u3000熱くなってきた！"""
HP30#54,"""やるじゃねぇか……！"""
HP10#54,"""くっそ……！\u3000まだまだ！"""
ItemRare#54,"""/toge そいつはいいもんだぜ！<br>大事にしろよ！"""
DamageSmall#54,"""ぐっ！"""
DamageMiddle#54,"""うおっ！"""
DamageLarge#54,"""やるな！"""
Trap#54,"""面倒なモンを……！"""
ThankTrapRescue#54,"""悪い、迷惑かけた！"""
TrapRescueOther#54,"""大丈夫か！"""
MemberDamaged#54,"""無理すんな！<br>後ろに下がってろ！"""
MemberDead#54,"""/toge 俺を怒らせたな！"""
AbilityExe#54,"""/toge 燃えてきたぜ！"""
AbilitySpecial#53,"""/toge よっしゃあ！\u3000俺に任せろ！"""
Resurrect#54,"""/toge まだまだいけるぜ、俺はよ！"""
PartyJoin#54,"""/toge /ci2 1 よろしく頼むぜ！"""
Marvelous#54,"""流石だな！"""
IncidentJsApcBegin#50,"""/toge /ci2 1 ちょっと手伝ってくれるか！<br>頼む！"""
IncidentJsApcFailure#50,"""ちっ……しくじった……！"""
IncidentJsApcSuccess#50,"""/toge /ci2 2 お前のおかげで助かったぜ！<br>ありがとな！"""
IncidentJsApcBeginEvo#50,"""/toge /ci2 1 まだまだ何か起きるってか！<br>よっしゃ、楽しもうぜ！"""
EnemyWeak#55,"""一気に蹴散らすぞ"""
EnemyLarge#55,"""なかなかの大きさだな"""
EnemyBoss#55,"""強敵登場、といったところか"""
EnemyRare#55,"""ふむ、珍しいエネミーだな"""
EnemyBoost#55,"""気をつけろ。<br>今までのとは一味違うぞ"""
DestroyEnemy1#55,"""次だ"""
DestroyEnemy2#55,"""終わりだな"""
DestroyEnemy3#52,"""仕留めたぞ"""
CondFreeze#55,"""ちっ、凍結か……！"""
CondBurn#55,"""ぐっ、燃焼状態か……！"""
CondShock#55,"""身体の痺れが……！"""
CondPoison#55,"""毒が回っているのか……！"""
CondPanic#55,"""むぅ……思考がまとまらん……"""
CondStan#55,"""身体が、動かん……！"""
CondMirage#55,"""視覚阻害か……！"""
Die#55,"""未熟なのは、私自身か……"""
ThankHeal#55,"""すまないな"""
ThankBuff#55,"""助かったぞ"""
ThankCure#55,"""よし、これで大丈夫だ"""
DefeatEnemy#55,"""さあ、次へ進もう"""
LevelUp#55,"""おめでとう！"""
InvokeSkill1#52,"""吹き飛べっ！"""
InvokeSkill2#50,"""トドメだっ！"""
InvokeSkill3#50,"""邪魔をするなっ！"""
TechFire#20,"""炎よ！"""
TechIce#19,"""氷よ！"""
TechThunder#21,"""雷よ！"""
TechWind#18,"""風よ！"""
TechLight#21,"""光よ！"""
TechDark#19,"""闇よ！"""
PBFull#55,"""ここからは手加減なしだ！"""
PBRelease#55,"""いでよ、フォトンブラスト！"""
Avoid#55,"""はっ！"""
HealSelf#55,"""甘いな"""
BuffSelf#55,"""万全の体勢を整える"""
HealOther#55,"""油断するな"""
BuffOther#55,"""待て、補助も必要だ"""
QuestStart1#55,"""パーティー……久しぶりだな"""
QuestEnd1#55,"""すばらしい結果だな"""
IncidentStart#55,"""この気配……何かが来るぞ！"""
IncidentSuccess#55,"""うまくいったようだな"""
IncidentFailure#55,"""すまない、私の未熟だ……"""
PSE#55,"""このフォトンの励起……<br>PSEというやつか！"""
PSELevelUp#55,"""続けていくぞ！"""
PSEBurst#55,"""これが、PSEバーストなんだな……！"""
HP30#55,"""このままでは……"""
HP10#55,"""まだ、倒れるわけには……！"""
ItemRare#55,"""それは、いいものだ"""
DamageSmall#55,"""ちっ"""
DamageMiddle#55,"""ぐあっ！"""
DamageLarge#55,"""しまった！"""
Trap#55,"""何！\u3000トラップだと！"""
ThankTrapRescue#55,"""助かったぞ！"""
TrapRescueOther#55,"""罠には気をつけろ！"""
MemberDamaged#55,"""無理をするな！"""
MemberDead#55,"""……あまり調子に乗るなよ！"""
AbilityExe#55,"""今ならば、敵はない！"""
AbilitySpecial#54,"""この調子を維持したいものだ"""
Resurrect#55,"""自分でまいた種は、自ら刈り取る！"""
PartyJoin#55,"""/ci2 1 私と組んでくれるのか"""
Marvelous#55,"""見事だ！"""
IncidentJsApcBegin#51,"""/ci2 1 む、いいところに来てくれた！<br>敵の数が多くてな<br>手伝ってもらえると助かる！"""
IncidentJsApcFailure#51,"""未熟を言い訳にはしたくないが……<br>すまん、先に退かせてもらう"""
IncidentJsApcSuccess#51,"""/ci2 1 よし、なんとかなったな。<br>突然の申し出を受けてくれて<br>ありがとう。感謝する。"""
IncidentJsApcBeginEvo#51,"""/ci2 2 この場はしのげたか……？<br>いや、まだ何か来るようだ。<br>注意しろ！"""
EnemyWeak#56,"""弱いヤツはどいてなさいっ！"""
EnemyLarge#56,"""でっかいだけのヤツなんて！"""
EnemyBoss#56,"""げっ、結構強そうなヤツ……！"""
EnemyRare#56,"""あっ、あれ、珍しいヤツ！"""
EnemyBoost#56,"""……この気配、なんか、怖い"""
DestroyEnemy1#56,"""一丁あがり！"""
DestroyEnemy2#56,"""これで終わりっ！"""
DestroyEnemy3#53,"""邪魔するからよ！"""
CondFreeze#56,"""冷たっ……！\u3000と、凍結！？"""
CondBurn#56,"""熱っ！\u3000ちょっと、何すんのよ！"""
CondShock#56,"""か、身体が痺れて動けない！？"""
CondPoison#56,"""うう……気持ち悪い……<br>これ、毒……？"""
CondPanic#56,"""な、なにがなんだかわからない－！"""
CondStan#56,"""か、身体が動かない……っ！"""
CondMirage#56,"""目がかすんで……なんか、ヘン……"""
Die#56,"""う、うそでしょ……こんなところで……？"""
ThankHeal#56,"""あ……ありがと……"""
ThankBuff#56,"""……助かった、かも"""
ThankCure#56,"""その……お礼はいっとく"""
DefeatEnemy#56,"""さっさと次、行くわよ！"""
LevelUp#56,"""べ、別に羨ましくなんて……！"""
InvokeSkill1#53,"""逃がさないわよ！"""
InvokeSkill2#51,"""あーもう、ムカつくーッ！"""
InvokeSkill3#51,"""調子に乗るなーッ！"""
PBFull#56,"""いい加減にしなさいっ！"""
PBRelease#56,"""全部まとめて相手してあげるわよ！"""
Avoid#56,"""はっ！"""
HealSelf#56,"""危なかったぁ……"""
BuffSelf#56,"""準備はしっかり、っと"""
HealOther#56,"""気をつけなさいよ！"""
BuffOther#56,"""油断しちゃダメよ！"""
QuestStart1#56,"""さっさと終わらせましょう"""
QuestEnd1#56,"""結構ソツなく出来てんじゃん"""
IncidentStart#56,"""何か来そう……気をつけて！"""
IncidentSuccess#56,"""ま、まあまあね！<br>このぐらい当たり前よね！"""
IncidentFailure#56,"""はぁ……全然駄目だな、あたし……"""
PSE#56,"""なにこれ……？<br>フォトンが反応してるの？"""
PSELevelUp#56,"""もっと続けていきましょう！"""
PSEBurst#56,"""すごい……綺麗……！"""
HP30#56,"""こ、このぐらいでッ！"""
HP10#56,"""ど、どうなってるのよッ！"""
ItemRare#56,"""あ、それ……レアなやつ……<br>だ、大事にしたら！？"""
DamageSmall#56,"""あうっ！"""
DamageMiddle#56,"""きゃああっ！"""
DamageLarge#56,"""このままじゃ……！"""
Trap#56,"""ちょっ、なんで罠ッ！"""
ThankTrapRescue#56,"""……手間かけて、ごめんなさい"""
TrapRescueOther#56,"""ちょっと、気をつけなさいよ！"""
MemberDamaged#56,"""下がってなさい！"""
MemberDead#56,"""……絶対に許さないんだから！"""
AbilityExe#56,"""この調子なら……いける！"""
AbilitySpecial#55,"""こうなったらこっちのもの！"""
Resurrect#56,"""あーもう、アッタマきた！<br>やりかえしてやる！"""
PartyJoin#56,"""/ci2 1 /moya ……よろしく"""
Marvelous#56,"""や、やるじゃない！"""
IncidentJsApcBegin#52,"""/toge /ci2 1 あっ、いいところに！<br>数が多くて、猫の手も借りたいの！<br>ちょっと手伝って！"""
IncidentJsApcFailure#52,"""もう少し頑張れると思ったのに……<br>……ごめんなさい、退きます！"""
IncidentJsApcSuccess#52,"""/ci2 1 ま、まあまあ連携出来てたんじゃない？<br>その……ありがと。"""
IncidentJsApcBeginEvo#52,"""/ci1 2 ……げ、なんかまだ出てきそう。<br>何だってのよ、まったく！"""
EnemyWeak#57,"""ケッ、雑魚ばっかかよ！"""
EnemyLarge#57,"""ハッ、図体だけはでかいようだな！"""
EnemyBoss#57,"""少しは手応えのありそうなヤツが<br>出てきたじゃねえか！"""
EnemyRare#57,"""んん？<br>ありゃあ、珍しいヤツか？"""
EnemyBoost#57,"""ちっ、メンドクセェ感じの<br>ヤツが出てきてやがるな……！"""
DestroyEnemy1#57,"""雑魚が！"""
DestroyEnemy2#57,"""邪魔だ！"""
DestroyEnemy3#54,"""うざってぇんだよ！"""
CondFreeze#57,"""凍結だと……っざけんな！"""
CondBurn#57,"""燃焼だと……っざけんな！"""
CondShock#57,"""感電だと……っざけんな！"""
CondPoison#57,"""毒だと……っざけんな！"""
CondPanic#57,"""クソ！\u3000頭がクラクラしやがる！"""
CondStan#57,"""動けねぇとか……っざけんな！"""
CondMirage#57,"""クソ！\u3000狙いが定まらねぇ！"""
Die#57,"""どうなってんだよ、これは……！"""
ThankHeal#57,"""……感謝はしておくぜ"""
ThankBuff#57,"""気が利くじゃねえか"""
ThankCure#57,"""……悪かねぇ"""
DefeatEnemy#57,"""おら、さっさと次行くぞ！"""
LevelUp#57,"""せいぜい頑張れよ"""
TechFire#21,"""消えろ、雑魚が！"""
TechIce#20,"""消えろ、雑魚が！"""
TechThunder#22,"""消えろ、雑魚が！"""
TechWind#19,"""消えろ、雑魚が！"""
TechLight#22,"""消えろ、雑魚が！"""
TechDark#20,"""消えろ、雑魚が！"""
PBFull#57,"""俺様が全て片付けてやるよ！"""
PBRelease#57,"""俺様に逆らう奴は……ぶっ潰す！"""
Avoid#57,"""はっ！"""
HealSelf#57,"""残念だったなァ！"""
BuffSelf#57,"""本気でぶっ潰してやるよ！"""
HealOther#57,"""下がってろウスノロ！"""
BuffOther#57,"""無理してんじゃねえよ！"""
QuestStart1#57,"""さっさと終わらせるぞ！"""
QuestEnd1#57,"""当然だろ、このぐらいはよ"""
IncidentStart#57,"""何だ、何がきやがる！"""
IncidentSuccess#57,"""ヘッ、この程度かよ！<br>くっだらねェ！"""
IncidentFailure#57,"""なんだよこりゃあ……<br>くっそつまんねえ！"""
PSE#57,"""おっ、こりゃＰＳＥってヤツか？"""
PSELevelUp#57,"""おらおら、もっと続けてくぞ！"""
PSEBurst#57,"""ヘッ、やりゃあ出来るじゃねえか！"""
HP30#57,"""調子にのってんじゃねえ……ッ！"""
HP10#57,"""この俺様が追い詰められてる……？<br>……ふっざけてんじゃねぇぞ！"""
ItemRare#57,"""あ、おいっ！<br>それ、珍しいヤツじゃねーか！"""
DamageSmall#57,"""ちっ！"""
DamageMiddle#57,"""なんだと……！"""
DamageLarge#57,"""クソっ！"""
Trap#57,"""罠だと！"""
ThankTrapRescue#57,"""……ったく、ふざけやがって"""
TrapRescueOther#57,"""くだらねーもんに<br>ひっかかってんじゃねーよ！"""
