CorrectionAssignMapTitle#0,"""Восстановление настроек управления"""
Config_Reb_065_Name#0,"""Источники света"""
Config_Reb_065_Hint#0,"""Для включения/отключения эффекта освещения.<br>Отключение немного улучшит<br>производительность."""
Config_Reb_065_Select_0#0,"""OFF"""
Config_Reb_065_Select_1#0,"""ON"""
Config_Reb_066_Name#0,"""Ландшафтное освещение"""
Config_Reb_066_Hint#0,"""Для включения/отключения ландшафтного<br>освещения.<br>Отключение немного улучшит<br>производительность."""
Config_Reb_066_Select_0#0,"""OFF"""
Config_Reb_066_Select_1#0,"""ON"""
Config_Reb_138_Name#0,"""Обработка свечения (Bloom)"""
Config_Reb_138_Hint#0,"""Настройка фильтрации ярких областей, чтобы сделать экран чище.<br><br>Установка на 0 увеличит производительность."""
Config_Reb_067_Name#0,"""Свечение(Bloom)"""
Config_Reb_067_Hint#0,"""Создаёт эффекты на экране при видимости<br>очень ярких эффектов.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_067_Select_0#0,"""OFF"""
Config_Reb_067_Select_1#0,"""ON"""
Config_Reb_068_Name#0,"""Глубина резкости(DOF)"""
Config_Reb_068_Hint#0,"""Имитация размытия для удалённых объектов.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_068_Select_0#0,"""OFF"""
Config_Reb_068_Select_1#0,"""ON"""
Config_Reb_137_Name#0,"""Настраеваемые сообщения в области"""
Config_Reb_137_Hint#0,"""Настраивает отображение сообщений<br>настраиваемых сообщений в области<br>от других игроков."""
Config_Reb_069_Name#0,"""Размытие"""
Config_Reb_069_Hint#0,"""Для эффекта размытия.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_069_Select_0#0,"""OFF"""
Config_Reb_069_Select_1#0,"""ON"""
Config_Reb_070_Name#0,"""Лучи света"""
Config_Reb_070_Hint#0,"""Настройка лучей света, исходящих<br>от солнца.<br><br>Отключение снизит нагрузку<br>на железо."""
Config_Reb_070_Select_0#0,"""OFF"""
Config_Reb_070_Select_1#0,"""ON"""
Config_Reb_071_Name#0,"""Сглаживание"""
Config_Reb_071_Hint#0,"""Отвечает за плавное отображение<br>изогнутых/наклонных линий.<br><br>Отключение немного улучшит<br>производительность.<br><br><yellow>※Включение TAA может изменить внешний вид<br>некоторых предметов 『PSO2』.<c>"""
Config_Reb_071_Select_0#0,"""OFF"""
Config_Reb_071_Select_1#0,"""FXAA"""
Config_Reb_071_Select_2#0,"""TAA"""
Config_Reb_071_Select_3#0,"""TAA + FXAA"""
Config_Reb_072_Name#0,"""Громкость голосового чата"""
Config_Reb_072_Hint#0,"""Настройка громкости голосового чата."""
Config_Reb_072_Select_0#0,"""-"""
Config_Reb_072_Select_1#0,"""-"""
Config_Reb_073_Name#0,"""Отображение группового чата"""
Config_Reb_073_Hint#0,"""Настрока отображаемости сообщений от других игроков в группе."""
Config_Reb_073_Select_0#0,"""-"""
Config_Reb_073_Select_1#0,"""-"""
Config_Reb_074_Name#0,"""Непрямое затенение объектов (Ambient Occlusion)"""
Config_Reb_074_Hint#0,"""Отвечает за затемнение теней, отбрасываемых<br>по краям.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_074_Select_0#0,"""OFF"""
Config_Reb_074_Select_1#0,"""ON"""
Config_Reb_075_Name#0,"""Затемнение краёв"""
Config_Reb_075_Hint#0,"""Для затемнения краёв экрана.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_075_Select_0#0,"""OFF"""
Config_Reb_075_Select_1#0,"""ON"""
Config_Reb_076_Name#0,"""Кривая цветокоррекции"""
Config_Reb_076_Hint#0,"""Для настройки общей яркости, цвета, контраста<br>для каждого места.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_076_Select_0#0,"""OFF"""
Config_Reb_076_Select_1#0,"""ON"""
Config_Reb_077_Name#0,"""-"""
Config_Reb_077_Hint#0,"""-"""
Config_Reb_077_Select_0#0,"""-"""
Config_Reb_077_Select_1#0,"""-"""
Config_Reb_078_Name#0,"""Динамическое разрешение"""
Config_Reb_078_Hint#0,"""Функция для уменьшения разрешения и<br>поддержки высокой частоты кадров при<br>высокой нагрузке.<br><br>Если она выключена, то есть вероятность<br>снижения частоты кадров при высокой<br>нагрузке."""
Config_Reb_078_Select_0#0,"""OFF"""
Config_Reb_078_Select_1#0,"""ON"""
Config_Reb_079_Name#0,"""Детальное отображение персонажей"""
Config_Reb_079_Hint#0,"""Настройка количества детально<br>отображаемых персонажей.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_080_Name#0,"""Видимость эффектов других игроков"""
Config_Reb_080_Hint#0,"""Отвечает за степень видимости визуальных эффектов от других игроков.<br><br>Более низкое значение сделает эффекты менее заметными."""
Config_Reb_081_Name#0,"""Качество теней"""
Config_Reb_081_Hint#0,"""Определяет качество теней.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_082_Name#0,"""Свет камеры"""
Config_Reb_082_Hint#0,"""Устанавливает объем света, излучаемого<br>камерой, что влияет на яркость картинки.<br>Установка значения 0 заметно повысит<br>производительность."""
Config_Reb_083_Name_old#0,"""Маркер врага"""
Config_Reb_083_Hint_old#0,"""Настройка отображения маркера врага<br>на радар-карте."""
Config_Reb_083_Select_0#0,"""Не показывать"""
Config_Reb_083_Select_1#0,"""Отобр-ть при наведении"""
Config_Reb_084_Name#0,"""Маркеры в области боя"""
Config_Reb_084_Hint#0,"""Настройка отображения маркера<br>(Т - маркер испытания; Е - маркер врага)<br>в области боя."""
Config_Reb_084_Select_0#0,"""Показывать"""
Config_Reb_084_Select_1#0,"""Временно"""
Config_Reb_084_Select_2#0,"""Не показывать"""
Config_Reb_085_Name#0,"""Авто отскок от стены"""
Config_Reb_085_Hint#0,"""Настройка авто отскока от стены<br>автоматически либо вручную."""
Config_Reb_085_Select_0#0,"""Автоматически"""
Config_Reb_085_Select_1#0,"""Вручную"""
Config_Reb_083_Name#0,"""Маркер врага"""
Config_Reb_083_Hint#0,"""Настройка отображения маркера врага<br>на радар-карте."""
Config_Reb_086_Name#0,"""Камера на босса"""
Config_Reb_086_Hint#0,"""Настройка переключения камеры на<br>широкий угол обзора во время боя<br>с большими врагами."""
Config_Reb_086_Select_0#0,"""OFF"""
Config_Reb_086_Select_1#0,"""ON"""
Config_Reb_089_Name#0,"""Приоритет фиксации цели (Lock-on)"""
Config_Reb_089_Select_0#0,"""В направлении камеры"""
Config_Reb_089_Select_1#0,"""В направлении персонажа"""
Config_Reb_089_Select_2#0,"""キャラクターの方向2"""
Config_Reb_089_Hint#0,"""Установка приоритета захвата цели<br>в направлении камеры либо<br>в направлении персонажа."""
Config_Reb_090_Name#0,"""Авто-воспроизведение штампа"""
Config_Reb_090_Hint#0,"""Настройка воспроизведения звука штампов<br>(голос/эффект).<br><br><yellow>※При отключении всех штампов, вы не будете<br>слышать их и у себя и у других игроков.<c>"""
Config_Reb_090_Select_0#0,"""Воспроизводить все"""
Config_Reb_090_Select_1#0,"""Отключить в чате области"""
Config_Reb_090_Select_2#0,"""Отключить все"""
Config_Reb_108_Name#0,"""Отражения пространства экрана"""
Config_Reb_108_Hint#0,"""Настройка точечной отрисовки отражений<br>некоторых элементов ландшафта.<br><br>Отключение снизит нагрузку."""
Config_Reb_106_Name#0,"""Тень пространства экрана"""
Config_Reb_106_Hint#0,"""Настройка точечной отрисовки определённых<br>теней не падающих на объекты.<br><br>Отключение снизит нагрузку."""
Config_Reb_093_Name#0,"""Качество облаков"""
Config_Reb_093_Hint#0,"""Регулировка уровня точности<br>отображения облаков.<br><br>Отключение немного улучшит<br>производительность."""
Config_Reb_093_Select_0#0,"""Низко"""
Config_Reb_093_Select_1#0,"""Средне"""
Config_Reb_093_Select_2#0,"""Высоко"""
Config_Reb_094_Name#0,"""Количество частиц"""
Config_Reb_094_Hint#0,"""Настройка количества отображаемых эффектов.<br><br>При установке уменьшения,<br>производительность улучшится."""
Config_Reb_095_Name#0,"""Качество меха"""
Config_Reb_095_Hint#0,"""Функция улучшения качества отображаемого<br>меха.<br><br>При отключении, нагрузка на железо<br>снижается."""
Config_Reb_096_Name#0,"""Антибликовое наложение"""
Config_Reb_096_Hint#0,"""Подавляет шум выражения блеска и улучшает<br>качество.<br><br>Отключение снизит нагрузку."""
Config_Reb_097_Name#0,"""Глобальное освещение"""
Config_Reb_097_Hint#0,"""Настройка эффекта для создания более<br>естественных световых эффектов.<br><br>Отключение снизит нагрузку.<br><yellow>※Изменения вступят в силу при<br>перезаходе.<c>"""
Config_Reb_098_Name#0,"""Тесселяция"""
Config_Reb_098_Hint#0,"""Функция улучшения качества за счёт<br>реалистичного рисования неровностей.<br><br>При отключении, нагрузка на железо<br>снижается."""
Config_Reb_099_Name#0,"""Вертикальная синхронизация (V-Sync)"""
Config_Reb_099_Hint#0,"""Функция синхронизации частоты с вертикальной<br>развёрткой монитора.<br>Автоматически отключается, если FPS ниже,<br>чем частота обновления экрана."""
Config_Reb_099_Select_0#0,"""OFF"""
Config_Reb_099_Select_1#0,"""ON"""
Config_Reb_099_Select_2#0,"""Принудительно ON"""
Config_Reb_100_Name#0,"""Фильтрация текстур"""
Config_Reb_100_Hint#0,"""Функция улучшающая гладкость текстур.<br>Нагрузка зависит от выбранной настройки.<br>Если вы виберете билинейную, нагрузка<br>будет меньше.<br><yellow>※Изменения вступят в силу после перезахода<br>в игру.<c>"""
Config_Reb_100_Select_0#0,"""Билинейная"""
Config_Reb_100_Select_1#0,"""Трёхлинейная"""
Config_Reb_100_Select_2#0,"""Анизотропная x4"""
Config_Reb_100_Select_3#0,"""Анизотропная x8"""
Config_Reb_100_Select_4#0,"""Анизотропная x16"""
Config_Reb_101_Name#0,"""Разрешение текстур"""
Config_Reb_101_Hint#0,"""Настройка разрешения текстур.<br><br>Уменьшение значения снизит нагрузку.<br><br><yellow>※Изменения вступят в силу после<br>перезахода в игру.<c>"""
Config_Reb_101_Select_0#0,"""Низкое"""
Config_Reb_101_Select_1#0,"""Среднее"""
Config_Reb_101_Select_2#0,"""Высокое"""
Config_Reb_101_Select_3#0,"""Наилучшее"""
Config_Reb_102_Name#0,"""Ограничение FPS"""
Config_Reb_102_Hint#0,"""Настройка максимального значения<br>частоты кадров."""
Config_Reb_102_Select_0#0,"""Без ограничений"""
Config_Reb_102_Select_1#0,"""30fps"""
Config_Reb_102_Select_2#0,"""60fps"""
Config_Reb_102_Select_3#0,"""90fps"""
Config_Reb_102_Select_4#0,"""120fps"""
Config_Reb_102_Select_5#0,"""144fps"""
Config_Reb_102_Select_6#0,"""165fps"""
Config_Reb_103_Name#0,"""Дальность прорисовки"""
Config_Reb_103_Hint#0,"""Настройка дальности прорисовки,<br>например, врагов и растительности.<br>Отключение немного улучшит<br>производительность.<br><yellow>※Изменения вступят в силу после<br>перезахода в игру.<c>"""
Config_Reb_104_Name#0,"""FPS при неактивном окне"""
Config_Reb_104_Hint#0,"""Функция ограничения частоты кадров и<br>облегчения нагрузки, когда окно игры<br>не активно."""
Config_Reb_104_Choices_0#0,"""Отключить"""
Config_Reb_104_Choices_1#0,"""Активировать"""
Config_Reb_105_Name#0,"""Яркость экрана"""
Config_Reb_105_Hint#0,"""Настройка яркости экрана.<br>Уменьшение значения снизит<br>яркость."""
Config_Reb_107_Name#0,"""Отображение экипировки"""
Config_Reb_107_Hint#0,"""Настройка отображения снаряжения<br>для окружающих вас игроков."""
Config_Reb_107_Select_0#0,"""Отображать"""
Config_Reb_107_Select_1#0,"""Не отображать"""
Config_Reb_109_Name#0,"""Простые настройки графики"""
Config_Reb_109_Hint#0,"""Настраивает разом все графические<br>настройки."""
Config_Reb_109_Select_0#0,"""Изменить"""
Config_Reb_043_Name#0,"""Нисходящая атака одновременным нажатием"""
Config_Reb_043_Select_0#0,"""Выключить"""
Config_Reb_043_Select_1#0,"""Включить"""
Config_Reb_043_Hint#0,"""Следует ли выполнять атаку в прыжке, при<br>нажатии <%Jump>＋<%NormalAttack>.<br>※Данную атаку можно выставить через<br>под-палитру."""
Config_Reb_110_Name#0,"""Скрытие аксессуаров других игроков"""
Config_Reb_110_Select_0#0,"""Выключить"""
Config_Reb_110_Select_1#0,"""Только чёрный список"""
Config_Reb_110_Select_2#0,"""Скрыть всё"""
Config_Reb_110_Hint#0,"""Настройка <yellow>аксессуаров<c> других игроков."""
Config_Reb_111_Name#0,"""Кол-во отображаемых PB"""
Config_Reb_111_Hint#0,"""Настраивает кол-во отображаемых Фотон Бластов.<br>Отключение снизит нагрузку."""
Config_Reb_112_Name#0,"""Эффект искажения рендеринга"""
Config_Reb_112_Hint#0,"""Настройка искажения пространства.<br>Отключение снизит нагрузку."""
Config_Reb_113_Name#0,"""Разрешение 3D рендеринга"""
Config_Reb_113_Hint#0,"""Настройка разрешения 3D рендеринга.<br><br>Чем меньше значение, тем лучше<br>производительность."""
Config_Reb_113_Select_0#0,"""Низкое"""
Config_Reb_113_Select_1#0,"""Среднее"""
Config_Reb_113_Select_2#0,"""Высокое （стандарт）"""
Config_Reb_115_Name#0,"""Автомат-синхр. при ред-нии формы тел"""
Config_Reb_115_Choices_0#0,"""Автоматическая синхронизация"""
Config_Reb_115_Choices_1#0,"""Индивидуальное редактирование"""
Config_Reb_115_Hint#0,"""Формы тела NGS и PSO2 автоматически<br>синхронизируются, но если вы хотите<br>редактировать их по отдельности, выберите<br>настройку [Индивидуальное редактирование].<br>(Работает только в салоне красоты)"""
Config_Reb_116_Name#0,"""Переключ-е инфо при принятии задач"""
Config_Reb_116_Hint#0,"""Настройка автоматического переключения<br>информации при взятии задач у NPC."""
Config_Reb_116_Select_0#0,"""Не переключать"""
Config_Reb_116_Select_1#0,"""Переключать"""
Config_Reb_045_Name#0,"""Обычный вид: Коррекция вращения мыши"""
Config_Reb_045_Hint#0,"""Регулировка скорости вращения камеры<br>при работе с мышью. Меньше<br>значение - меньше скорость вращения<br>камеры.<br><yellow>※Только для стандартного вида.<c>"""
Config_Reb_046_Name#0,"""От 3-го лица: Коррекция вращения мыши"""
Config_Reb_046_Hint#0,"""Регулировка скорости вращения камеры<br>при работе с мышью. Меньше<br>значение - меньше скорость вращения<br>камеры.<br><yellow>※Только для вида из за плеча.<c>"""
Config_Reb_088_Name#0,"""Приглашение в групповой чат"""
Config_Reb_088_Hint#0,"""Настрока авто-решений по приглашениям в групповые чаты.<br><br><yellow>※При выборе [Не принимать], приглашения будут автоматически откланяться.<c>"""
Config_Reb_088_Select_0#0,"""Принимать"""
Config_Reb_088_Select_1#0,"""Не принимать"""
Config_Reb_122_Name#0,"""Отображение чата области"""
Config_Reb_122_Hint#0,"""Настройка отображаемости сообщений<br>чата области в вкладке чата<br>\""Показать всё\""."""
Config_Reb_123_Name#0,"""Отображение чата группы в \""Показать всё\"""""
Config_Reb_123_Hint#0,"""Настройка отображаемости сообщений<br>чата группы в вкладке чата<br>\""Показать всё\""."""
Config_Reb_124_Name#0,"""Отображение чата команды в \""Показать всё\"""""
Config_Reb_124_Hint#0,"""Настройка отображаемости сообщений<br>чата команды в вкладке чата<br>\""Показать всё\""."""
Config_Reb_125_Name#0,"""Отображение чата шёпота в \""Показать всё\"""""
Config_Reb_125_Hint#0,"""Настройка отображаемости сообщений<br>чата шёпота в вкладке чата<br>\""Показать всё\""."""
Config_Reb_126_Name#0,"""Отображение чата системы в \""Показать всё\"""""
Config_Reb_126_Hint#0,"""Настройка отображаемости сообщений<br>чата системы в вкладке чата<br>\""Показать всё\""."""
Config_Reb_127_Name#0,"""Отображение чата персонажа в \""Показать всё\"""""
Config_Reb_127_Hint#0,"""Настройка отображаемости сообщений<br>чата персонажа в вкладке чата<br>\""Показать всё\""."""
Config_Reb_128_Name#0,"""Отображение группового чата в \""Показать всё\"""""
Config_Reb_128_Hint#0,"""Настройка отображаемости сообщений<br>группового чата в вкладке чата<br>\""Показать всё\""."""
Config_Reb_130_Name#0,"""Уведомление группового чата"""
Config_Reb_130_Hint#0,"""Настройка отображения параметров<br>приглашения в групповой чат<br>при получении такового."""
Config_Reb_131_Name#0,"""Отображение штампов"""
Config_Reb_131_Hint#0,"""Настройка отображения штампов<br>от других игроков."""
Config_Reb_131_Select_0#0,"""Не отображать"""
Config_Reb_131_Select_1#0,"""Отображать"""
Config_Reb_131_Select_2#0,"""Только пузыри чата"""
Config_Reb_131_Select_3#0,"""Только лог чата"""
Config_Reb_132_Name#0,"""Общий чат в области"""
Config_Reb_132_Hint#0,"""Настраивает отображение сообщений<br>общего чата в области от других<br>игроков."""
Config_Reb_132_Select_0#0,"""Отображать"""
Config_Reb_132_Select_1#0,"""Не отображать"""
Config_Reb_133_Name#0,"""Чат группы в области"""
Config_Reb_133_Hint#0,"""Настраивает отображение сообщений<br>чата группы в области от других<br>игроков."""
Config_Reb_133_Select_0#0,"""Отображать"""
Config_Reb_133_Select_1#0,"""Не отображать"""
Config_Reb_134_Name#0,"""Чат команды в области"""
Config_Reb_134_Hint#0,"""Настраивает отображение сообщений<br>чата команды в области от других<br>игроков."""
Config_Reb_134_Select_0#0,"""Отображать"""
Config_Reb_134_Select_1#0,"""Не отображать"""
Config_Reb_135_Name#0,"""Чат шёпота в области"""
Config_Reb_135_Hint#0,"""Настраивает отображение сообщений<br>чата щёпота в области от других<br>игроков."""
Config_Reb_135_Select_0#0,"""Отображать"""
Config_Reb_135_Select_1#0,"""Не отображать"""
Config_Reb_136_Name#0,"""Групповой чат в области"""
Config_Reb_136_Hint#0,"""Настраивает отображение сообщений<br>группового чата в области от других<br>игроков."""
Config_Reb_136_Select_0#0,"""Отображать"""
Config_Reb_136_Select_1#0,"""Не отображать"""
Config_Reb_137_Select_0#0,"""Отображать"""
Config_Reb_137_Select_1#0,"""Не отображать"""
Config_Reb_139_Name#0,"""NVIDIA DLSS"""
Config_Reb_139_Hint#0,"""При включении, снижает нагрузку<br>на обработку изображения с целью<br>достижения макс fps с макс<br>настройками графики.<br><br><yellow>※Для использования DLSS требуется<br>видеокарта NVIDIA RTX3000.<c>"""
Config_Reb_139_Select_0#0,"""OFF"""
Config_Reb_139_Select_1#0,"""Авто"""
Config_Reb_139_Select_2#0,"""Качество"""
Config_Reb_139_Select_3#0,"""Баланс"""
Config_Reb_139_Select_4#0,"""Производительность"""
Config_Reb_140_Name#0,"""Авто-отправка в хранилище"""
Config_Reb_140_Hint#0,"""Настройка автоотправки в хранилище материалов повторно полученных предметов.<br><br>【Основные способы получения】<br>・Выпадающие предметы<br>・Предметы собра<br>・Награды за испытания<br>・Награды за задачи/квесты<br>・Награды за Mission Pass<br>・Награды за бонус лотереи"""
Config_Reb_141_Name#0,"""AMD FSR 1.0"""
Config_Reb_141_Hint#0,"""При включении FSR 1.0, снижает нагрузку<br>на обработку изображения с целью<br>достижения макс fps с макс<br>настройками графики.<br><br><yellow>※Для использования FSR 1.0 требуется<br>совместимая видеокарта.<c>"""
Config_Reb_141_Select_0#0,"""OFF"""
Config_Reb_141_Select_1#0,"""Авто"""
Config_Reb_141_Select_2#0,"""Ультра-качество"""
Config_Reb_141_Select_3#0,"""Качество"""
Config_Reb_141_Select_4#0,"""Баланс"""
Config_Reb_141_Select_5#0,"""Производительность"""
Config_Reb_142_Name#0,"""Отображение иконки нового/вернувшегося игрока"""
Config_Reb_142_Hint#0,"""Настраивает отображение иконки<br>нового/вернувшегося игрока."""
Config_047_Hint_Streamer#0,"""Настройка окна получения приглашения<br>в группу.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_048_Hint_Streamer#0,"""Настройка окна получения заявки<br>в друзья.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_049_Hint_Streamer#0,"""Настройка окна получения приглашения<br>в команду.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_058_Hint_Streamer#0,"""Настройка отображения уведомления<br>о истечении премиума через 7 дней<br>при входе в игру.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_059_Hint_Streamer#0,"""Настройка отправки оповещения друзьям<br>о вашем входе в игру.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_070_Hint_Streamer#0,"""Настройка авто-блокировки приглашения<br>в групповой чат.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_049_Hint_Streamer#0,"""Настройка отображения авто-текста<br>во время события от других игроков.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_091_Hint_Streamer#0,"""Настройка отображения авто-текста<br>членов от других игроков.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_092_Hint_Streamer#0,"""Настройка отображения авто-текста<br>действий от других игроков.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_050_Hint_Streamer#0,"""Настройка отображения авто-текста<br>в логе чата.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_088_Hint_Streamer#0,"""Настройка принятия приглашения в<br>групповой чат от других игроков.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_118_Hint_Streamer#0,"""Настройка отображения Символ Артов<br>в общем чате области.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_120_Hint_Streamer#0,"""Настройка отображения Символ Артов<br>в чате команды.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_121_Hint_Streamer#0,"""Настройка отображения Символ Артов<br>в групповом чате.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_122_Hint_Streamer#0,"""Настройка отображения сообщений<br>общего чата области, при переключении<br>вкладки чата в общей вкладке.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_124_Hint_Streamer#0,"""Настройка отображения сообщений<br>чата команды, при переключении вкладки<br>чата в общей вкладке.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_125_Hint_Streamer#0,"""Настройка отображения сообщений<br>чата шёпота, при переключении вкладки<br>чата в общей вкладке.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_128_Hint_Streamer#0,"""Настройка отображения сообщений<br>группового чата, при переключении<br>вкладки чата в общей вкладке.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_132_Hint_Streamer#0,"""Настройка отображения сообщений<br>от других игроков в общем чате<br>области.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_053_Hint_Streamer#0,"""Настройка отображения сообщений<br>от других игроков в чате команды.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_134_Hint_Streamer#0,"""Настройка отображения сообщений<br>о онлайн статусе других игроков, когда у тех установленно Своё сообщение.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_135_Hint_Streamer#0,"""Настройка отображения сообщений<br>от других игроков в чате шёпота.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_136_Hint_Streamer#0,"""Настройка отображения сообщений<br>от других игроков в групповом чате.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_016_Hint_Streamer#0,"""Настройка отображения окна получения<br>приглашения в группу.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_017_Hint_Streamer#0,"""Настройка отображения окна получения<br>запроса в друзья.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_018_Hint_Streamer#0,"""Настройка отображения окна получения<br>приглашения в команда.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_021_Hint_Streamer#0,"""Настройка отображения уведомления<br>о истечении премиума через 7 дней<br>при входе в игру.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_025_Hint_Streamer#0,"""Настройка отправки оповещения друзьям<br>о вашем входе в игру.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_130_Hint_Streamer#0,"""Настройка показа приглашения<br>в групповой чат при получении<br>приглашения.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_053b_Hint_Streamer#0,"""Настройка отображения всплывающих<br>пузырей с сообщениями чата команды<br>от других игроков.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_073_Hint_Streamer#0,"""Настройка отображения сообщений<br>в групповом чате от других игроков.<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_Streamer_Title#0,"""Режим стримера"""
Config_Reb_Streamer_Name#0,"""Режим стримера"""
Config_Reb_Streamer_Select0#0,"""Использовать"""
Config_Reb_Streamer_Select1#0,"""Не использовать"""
Config_Reb_Streamer_Hint#0,"""Режим стримера позволяет опционально скрыть<br>чат и уведомления во время стрима для<br>защиты личной информации.<br>Предварительно вы можете проверить<br>настройки в меню настроек."""
Config_Reb_152_Name#0,"""Авто-ответ чата"""
Config_Reb_152_Hint#0,"""<yellow>Настройка ответа другим игрокам,<br>пытащимся отправить вам шёпот, когда<br>у вас отключён шёпот.<br><br><yellow>1-я фраза: [Авто-ответ] Чат шёпота<br>не доступен для этого игрока.<br>2-я фраза: [Авто-ответ] Нельзя<br>использовать чат шёпота, так как<br>у игрока активирован режим стримера.<c>"""
Config_Reb_152_Select_0#0,"""Не использовать"""
Config_Reb_152_Select_1#0,"""1-я фраза"""
Config_Reb_152_Select_2#0,"""2-я фраза"""
StreamerText#0,"""$(0)<br><br><yellow>Нельзя изменить во время работы<br>режима стримера.<c>"""
Config_Reb_154_Name#0,"""アンビエントオクルージョン：キャラクター"""
Config_Reb_154_Hint#0,"""キャラクターの周囲に新たな陰影を追加する機能の<br>ON/OFFを切り替えます。<br><br>OFFにすると処理がやや軽くなります。"""
Config_Reb_155_Name#0,"""HDR設定"""
Config_Reb_155_Hint#0,"""HDR(ハイダイナミックレンジ)を<br>有効にするかを設定します。<br><br>HDR対応モニターに接続し、PC等の機器の設定で<br>HDRの機能を有効にしておく必要があります。<br>機器設定後、ゲームの再起動が必要になります。<br><br><yellow>※HDR設定有効時のスクリーンショットや<br>\u3000キャプチャ映像は、実際のゲーム画面とは<br>\u3000異なる見た目になる場合があります。<c>"""
Config_Reb_156_Name#0,"""HDR設定：標準白レベル"""
Config_Reb_156_Hint#0,"""HDR設定有効時の、<br>画面の明るさを調整します。<br><br>画面に表示されるマークが、<br>わずかに見える程度に調整してください。"""
Config_Reb_157_Name#0,"""HDR設定：最大輝度レベル"""
Config_Reb_157_Hint#0,"""HDR設定有効時の、<br>画面の明るい部分の見え方を調整します。<br><br>画面に表示されるマークが、<br>わずかに見える程度に調整してください。"""
Config_Reb_158_Name#0,"""HDR設定：彩度調整"""
Config_Reb_158_Hint#0,"""HDR設定有効時の、<br>色の鮮やかさを調整します。"""
Config_Reb_159_Name#0,"""キャラクターのモーション補正"""
Config_Reb_159_Hint#0,"""プレイヤーとパーティーキャラクターの<br>動きを自然に見せる機能の<br>ON/OFFを切り替えます。<br><br>キャラクターの動きが不自然なときに、<br>OFFにすることで改善する場合があります。"""
Config_Reb_161_Name#0,"""シンボルアートの表示：マイショップ"""
Config_Reb_161_Hint#0,"""マイショップで、<br>シンボルアートを表示するかを選択します。<br><br><yellow>※“表示しない”を選ぶと、<br>\u3000他のプレイヤーのマイショップに設定されている<br>\u3000シンボルアートが表示されなくなります。<c>"""
Config_Reb_162_Name#0,"""簡易モデルの表示形式"""
Config_Reb_162_Hint#0,"""キャラクターが詳細に描写できない時の<br>表示タイプを設定します。<br><br>【モデル1】シルエット状のモデルで表示します。<br>【モデル2】白色のモデルで表示します。<br>【モデル3】半透明のモデルで表示します。<br><br><yellow>※“モデル3”は、処理がやや重くなります。<c>"""
