CorrectionAssignMapTitle#0,"""조작 설정 복원"""
Config_Reb_049_Hint#0,"""다른 플레이어의 오토 워드 \""이벤트\""를<br>표시할지 설정합니다."""
Config_Reb_049_Select_0#0,"""표시 안함"""
Config_Reb_049_Select_1#0,"""항상 표시"""
Config_Reb_091_Name#0,"""다른 플레이어의 오토 워드 표시 : 멤버"""
Config_Reb_091_Hint#0,"""다른 플레이어의 오토 워드 \""멤버\""를<br>표시할지 설정합니다."""
Config_Reb_091_Select_0#0,"""표시 안함"""
Config_Reb_091_Select_1#0,"""항상 표시"""
Config_Reb_092_Name#0,"""다른 플레이어의 오토 워드 표시 : 액션"""
Config_Reb_092_Hint#0,"""다른 플레이어의 오토 워드 \""액션\""을<br>표시할지 설정합니다."""
Config_Reb_092_Select_0#0,"""표시 안함"""
Config_Reb_092_Select_1#0,"""항상 표시"""
Config_Reb_050_Name#0,"""오토 워드 로그 표시"""
Config_Reb_050_Hint#0,"""오토 워드를 로그에 표시할지 설정합니다."""
Config_Reb_050_Select_0#0,"""표시 안함"""
Config_Reb_050_Select_1#0,"""항상 표시"""
Config_Reb_051_Name#0,"""매일 답장 시 상대 문장 인용"""
Config_Reb_051_Hint#0,"""메일 답장 시<br>상대방의 문장을 인용할지 설정합니다."""
Config_Reb_051_Select_0#0,"""인용 안함"""
Config_Reb_051_Select_1#0,"""인용"""
Config_Reb_052_Name#0,"""드랍 연출 표시의 레어리티 설정"""
Config_Reb_151_Name#0,"""드랍 연출 표시의 레어리티 설정: 기타 아이템"""
Config_Reb_052_Hint#0,"""레어 아이템의 드랍 연출을<br>레어리티 몇부터 표시할지 설정합니다."""
Config_Reb_151_Hint#0,"""레어 아이템의 드랍 연출을<br>어느 레어리티부터 표시할지 설정합니다.<br><br>【해당하는 아이템】<br>・코스튬/파츠<br>・무기 미채<br>・소비 아이템<br>・소재 아이템"""
Config_Reb_053_Name#0,"""다른 플레이어의 팀 채팅 표시"""
Config_Reb_053_Hint#0,"""다른 플레이어의 팀 채팅을<br>표시할지 설정합니다."""
Config_Reb_053_Select_0#0,"""전부 표시"""
Config_Reb_053_Select_1#0,"""같은 에어리어만"""
Config_Reb_053_Select_2#0,"""표시 안함"""
Config_Reb_054_Name#0,"""심볼 아트 표시"""
Config_Reb_054_Hint#0,"""심볼 아트를 표시할지 설정합니다.<br><yellow>※\""표시 안함\""을 선택하면<br>자신의 심볼 아트도<br>다른 플레이어의 심볼 아트도<br>표시되지 않게 됩니다.<c>"""
Config_Reb_054_Select_0#0,"""표시 안함"""
Config_Reb_054_Select_1#0,"""항상 표시"""
Config_Reb_118_Name#0,"""심볼 아트 표시: 주위"""
Config_Reb_118_Hint#0,"""\""주위\""에서 보낸<br>심볼 아트를 표시할지 선택합니다.<br><br><yellow>※\""일부만 표시\""를 선택하면<br>\u3000자신과 프렌드, 팀 멤버,<br>\u3000파티 멤버의 심볼 아트만<br>\u3000표시됩니다.<c>"""
Config_Reb_118_Select_0#0,"""표시 안함"""
Config_Reb_118_Select_1#0,"""일부만 표시"""
Config_Reb_118_Select_2#0,"""표시하기"""
Config_Reb_119_Name#0,"""심볼 아트 표시: 파티"""
Config_Reb_119_Hint#0,"""파티 채팅에서<br>심볼 아트를 표시할지 선택합니다.<br><br><yellow>※\""표시 안함\""을 선택하면<br>\u3000자신의 심볼 아트도<br>\u3000다른 플레이어의 심볼 아트도<br>\u3000표시되지 않습니다.<c>"""
Config_Reb_120_Name#0,"""심볼 아트 표시: 팀"""
Config_Reb_120_Hint#0,"""팀 채팅에서<br>심볼 아트를 표시할지 선택합니다.<br><br><yellow>※\""표시 안함\""을 선택하면<br>\u3000자신의 심볼 아트도<br>\u3000다른 플레이어의 심볼 아트도<br>\u3000표시되지 않습니다.<c>"""
Config_Reb_121_Name#0,"""심볼 아트 표시: 그룹"""
Config_Reb_121_Hint#0,"""그룹 채팅에서<br>심볼 아트를 표시할지 선택합니다.<br><br><yellow>※\""표시 안함\""을 선택하면<br>\u3000자신의 심볼 아트도<br>\u3000다른 플레이어의 심볼 아트도<br>\u3000표시되지 않습니다.<c>"""
Config_Reb_055_Name#0,"""채팅 발언자 이름 표시 방법"""
Config_Reb_055_Hint#0,"""팀 채팅, 귓속말,그룹 채팅의<br>발언자 이름을 어떻게 표시할지 정합니다."""
Config_Reb_055_Select_0#0,"""플레이어 ID 네임"""
Config_Reb_055_Select_1#0,"""캐릭터 이름"""
Config_Reb_056_Name#0,"""채팅 입력란의 배경색"""
Config_Reb_056_Hint#0,"""채팅 입력란의 배경색을<br>파티 채팅, 팀 채팅 등<br>항목별로 변경할지 설정합니다."""
Config_Reb_056_Select_0#0,"""색 변경 없음"""
Config_Reb_056_Select_1#0,"""색 변경"""
Config_Reb_057_Name#0,"""BGM 볼륨"""
Config_Reb_057_Hint#0,"""BGM 볼륨을 설정합니다."""
Config_Reb_058_Name#0,"""SE 볼륨"""
Config_Reb_058_Hint#0,"""SE 볼륨을 설정합니다."""
Config_Reb_059_Name#0,"""보이스 볼륨: 플레이어 캐릭터"""
Config_Reb_153_Name#0,"""보이스 볼륨: 기타 캐릭터"""
Config_Reb_059_Hint#0,"""플레이어 캐릭터의<br>보이스 볼륨을 설정합니다."""
Config_Reb_153_Hint#0,"""그 외의 캐릭터의<br>보이스 볼륨을 설정합니다."""
Config_Reb_060_Name#0,"""게임 내 영상 볼륨"""
Config_Reb_060_Hint#0,"""게임 내 영상 볼륨을 설정합니다."""
Config_Reb_061_Name#0,"""서라운드"""
Config_Reb_061_Hint#0,"""서라운드 효과의 ON/OFF를 바꿉니다."""
Config_Reb_061_Select_0#0,"""OFF"""
Config_Reb_061_Select_1#0,"""ON"""
Config_Reb_062_Name#0,"""글로벌 포커스 사운드"""
Config_Reb_062_Hint#0,"""게임 화면이 활성화 되어 있지 않을 때도<br>사운드를 재생할지 설정합니다."""
Config_Reb_062_Select_0#0,"""OFF"""
Config_Reb_062_Select_1#0,"""ON"""
Config_Reb_063_Name#0,"""스크린샷 저장 포맷"""
Config_Reb_063_Hint#0,"""스크린샷의 저장 포맷을 설정합니다."""
Config_Reb_063_Select_0#0,"""JPEG"""
Config_Reb_063_Select_1#0,"""PNG"""
Config_Reb_063_Select_2#0,"""BMP"""
Config_Reb_064_Name#0,"""스크린샷 촬영시 UI 표시 설정"""
Config_Reb_064_Hint#0,"""스크린샷을 저장할 때<br>UI (윈도우 등의 인터페이스)를<br>표시할지 설정합니다.<br><br><yellow>※게임 내 촬영 기능만 적용됩니다.<c>"""
Config_Reb_064_Select_0#0,"""전부 표시"""
Config_Reb_064_Select_1#0,"""말풍선만 표시"""
Config_Reb_064_Select_2#0,"""표시 안함"""
Config_Reb_065_Name#0,"""이펙트 광원"""
Config_Reb_065_Hint#0,"""이펙트와 관련된 라이팅 ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_Reb_065_Select_0#0,"""OFF"""
Config_Reb_065_Select_1#0,"""ON"""
Config_Reb_066_Name#0,"""지형 광원"""
Config_Reb_066_Hint#0,"""지형과 관련된 조명의 ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_Reb_066_Select_0#0,"""OFF"""
Config_Reb_066_Select_1#0,"""ON"""
Config_Reb_138_Name#0,"""블룸 설정"""
Config_Reb_138_Hint#0,"""밝은 부분에 필터를 씌워 화면 전체를<br>더 예쁘게 보이게 하는 효과를 설정합니다.<br><br>수치를 0으로 하면 처리가 다소 가벼워집니다."""
Config_Reb_067_Name#0,"""블룸 처리"""
Config_Reb_067_Hint#0,"""밝은 부분에 필터를 적용시켜 화면 전체를<br>한층 더 예쁘게 보이게 하는 효과의<br>ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_Reb_067_Select_0#0,"""OFF"""
Config_Reb_067_Select_1#0,"""ON"""
Config_Reb_068_Name#0,"""피사계 심도"""
Config_Reb_068_Hint#0,"""일부 이벤트 장면 등에서 배경을<br>흐리게 하는 효과의 ON/OFF를 변경합니다.<br><br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_Reb_068_Select_0#0,"""OFF"""
Config_Reb_068_Select_1#0,"""ON"""
Config_Reb_137_Name#0,"""블러"""
Config_Reb_137_Hint#0,"""카메라나 캐릭터 등의 움직임에<br>잔상과 같은 효과가 생기는 설정을 합니다.<br><br>수치를 0으로 하면 처리가 다소 가벼워집니다."""
Config_Reb_069_Name#0,"""블러"""
Config_Reb_069_Hint#0,"""카메라나 캐릭터의 움직임에 맞추어<br>잔상과 같은 효과를 표현하는 기능의<br>ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_Reb_069_Select_0#0,"""OFF"""
Config_Reb_069_Select_1#0,"""ON"""
Config_Reb_070_Name#0,"""라이트 샤프트"""
Config_Reb_070_Hint#0,"""빛이 태양을 중심으로 확산되는 표현의<br>ON/OFF를 변경합니다.<br>※OFF로 전환하면 처리가 다소 가벼워집니다"""
Config_Reb_070_Select_0#0,"""OFF"""
Config_Reb_070_Select_1#0,"""ON"""
Config_Reb_071_Name#0,"""안티에일리어싱"""
Config_Reb_071_Hint#0,"""곡선이나 대각선의 선을 매끄럽게 그리는 기능입니다.<br><br>설정에 따라 처리 부하가 달라져<br>OFF로 전환하면 처리가 다소 가벼워집니다<br><br>※TAA를 포함한 설정으로 하면<br>일부 『PSO2』아이템 등의<br>외형이 달라질 수 있습니다."""
Config_Reb_071_Select_0#0,"""OFF"""
Config_Reb_071_Select_1#0,"""FXAA"""
Config_Reb_071_Select_2#0,"""TAA"""
Config_Reb_071_Select_3#0,"""TAA + FXAA"""
Config_Reb_072_Name#0,"""보이스 채팅 음량"""
Config_Reb_072_Hint#0,"""보이스 채팅의 음량을 설정합니다."""
Config_Reb_072_Select_0#0,"""-"""
Config_Reb_072_Select_1#0,"""-"""
Config_Reb_073_Name#0,"""타 플레이어의 그룹 채팅 표시"""
Config_Reb_073_Hint#0,"""타 플레이어의 그룹 채팅을<br>표시할지 설정합니다."""
Config_Reb_073_Select_0#0,"""-"""
Config_Reb_073_Select_1#0,"""-"""
Config_Reb_074_Name#0,"""앰비언트 오클루전"""
Config_Reb_074_Hint#0,"""물체의 모서리에 생기는 그림자를<br>더욱 정밀하게 묘사하는 기능의<br>ON/OFF를 설정합니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_074_Select_0#0,"""OFF"""
Config_Reb_074_Select_1#0,"""ON"""
Config_Reb_075_Name#0,"""주연감광"""
Config_Reb_075_Hint#0,"""화면의 외연부를 어둡게 하는 기능의<br>ON/OFF를 바꿉니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_075_Select_0#0,"""OFF"""
Config_Reb_075_Select_1#0,"""ON"""
Config_Reb_076_Name#0,"""색조 톤 곡선"""
Config_Reb_076_Hint#0,"""화면 전체의 색조, 대비, 밝기를 필드마다<br>조정하는 기능의ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_076_Select_0#0,"""OFF"""
Config_Reb_076_Select_1#0,"""ON"""
Config_Reb_077_Name#0,"""-"""
Config_Reb_077_Hint#0,"""-"""
Config_Reb_077_Select_0#0,"""-"""
Config_Reb_077_Select_1#0,"""-"""
Config_Reb_078_Name#0,"""해상도 자동 축소 기능"""
Config_Reb_078_Hint#0,"""부하가 높을 때해상도를 낮춰<br>높은 프레임 레이트를 유지하는 기능의<br>ON/ON를 설정합니다.<br>OFF로 하시면 전투 증 등일 때<br>프레임 레이트가 낮아질 수 있습니다."""
Config_Reb_078_Select_0#0,"""OFF"""
Config_Reb_078_Select_1#0,"""ON"""
Config_Reb_079_Name#0,"""상세하게 표시 할 캐릭터 수"""
Config_Reb_079_Hint#0,"""무기 등을 상세하게 묘사 할<br>캐릭터의 최대 수를 설정합니다.<br>치를 내리면 처리가 다소 가벼워집니다."""
Config_Reb_080_Name#0,"""다른 플레이어의 효과 불투명도"""
Config_Reb_080_Hint#0,"""다른 플레이어 주위에 발생하는 이펙트를<br>어느 정도로 명확하게 표시할지를 설정합니다.<br><br>수치를 낮추면 이펙트가 옅어집니다."""
Config_Reb_081_Name#0,"""그림자 품질"""
Config_Reb_081_Hint#0,"""물체에 떨어지는 그림자를 어느정도로<br>정밀하게 묘사할지를 설정합니다.<br>수치를 낮추면 처리가 다소 가벼워집니다."""
Config_Reb_082_Name#0,"""카메라 라이트"""
Config_Reb_082_Hint#0,"""카메라가 향하고 있는 방향의 광량을 조절해서<br>캐릭터 등의 밝기를 설정합니다.<br>수치를 0으로 하면 처리가 다소 가벼워집니다."""
Config_Reb_083_Name_old#0,"""에너미 가이드 표시"""
Config_Reb_083_Hint_old#0,"""레이더 맵의 에너미 가이드 표시를 설정합니다."""
Config_Reb_083_Select_0#0,"""표시 안함"""
Config_Reb_083_Select_1#0,"""전환 할때만 표시"""
Config_Reb_084_Name#0,"""교전 중 마커 표시"""
Config_Reb_084_Hint#0,"""교전 중 범위에서 마커의 표시 방법을 설정합니다."""
Config_Reb_084_Select_0#0,"""항상 표시"""
Config_Reb_084_Select_1#0,"""잠깐 표시"""
Config_Reb_084_Select_2#0,"""표시 안함"""
Config_Reb_085_Name#0,"""월 킥의 실행"""
Config_Reb_085_Hint#0,"""월 킥을 자동으로 할 것인지,<br>수동으로 할 것인지를 설정합니다."""
Config_Reb_085_Select_0#0,"""자동"""
Config_Reb_085_Select_1#0,"""수동"""
Config_Reb_083_Name#0,"""화면의 진동"""
Config_Reb_083_Hint#0,"""에너미 공격 등에 의한 카메라의 진동을<br>화면에 반영할지 설정합니다.<br><br><yellow>※이벤트 장면 연출에는 적용되지 않습니다."""
Config_Reb_086_Name#0,"""대형 에너미 카메라"""
Config_Reb_086_Hint#0,"""대형 에너미와의 전투 중 카메라를<br>광각으로 할지 설정합니다."""
Config_Reb_086_Select_0#0,"""OFF"""
Config_Reb_086_Select_1#0,"""ON"""
Config_Reb_089_Name#0,"""록온 우선 대상"""
Config_Reb_089_Select_0#0,"""카메라 방향"""
Config_Reb_089_Select_1#0,"""캐릭터 방향 1"""
Config_Reb_089_Select_2#0,"""캐릭터 방향 2"""
Config_Reb_089_Hint#0,"""록온 할 대상의 우선도를 설정합니다.<br><br>【카메라 방향】<br>카메라의 맞은편에 있는 대상을 우선으로 합니다.<br>【캐릭터 방향 1】<br>캐릭터 맞은편에 있는<br>대상을 우선으로 합니다.<br>【캐릭터 방향 2】<br>캐릭터의 맞은편 외에도<br>에너미의 약점 부위나<br>가까운 부위를 우선으로 합니다."""
Config_Reb_090_Name#0,"""스탬프 효과음 재생"""
Config_Reb_090_Hint#0,"""스탬프의 효과음이나 음성을<br>재생할지 설정합니다.<br><br><yellow>※\""재생하지 않음\""을 선택하면<br>자신의 스탬프도 다른 플레이어의<br>스탬프도 효과음이나 음성이 재생되지 않습니다.<c>"""
Config_Reb_090_Select_0#0,"""재생"""
Config_Reb_090_Select_1#0,"""내 주위만 재생 안함"""
Config_Reb_090_Select_2#0,"""\""주위\""만 재생하지 않음"""
Config_Reb_108_Name#0,"""스크린 스페이스 리플렉션"""
Config_Reb_108_Hint#0,"""일부 지형 촬영 시<br>퀄리티를 향상시키는 기능의<br>ON/OFF를 설정합니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_106_Name#0,"""스크린 스페이스 섀도우"""
Config_Reb_106_Hint#0,"""물체에 떨어지는 일부 그림자를<br>더욱 정밀하게 묘사하는 기능의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_093_Name#0,"""구름 품질"""
Config_Reb_093_Hint#0,"""구름을 얼마나 정밀하게<br>묘사할지 설정합니다.<br><br>수치를 낮추면 처리가 다소 가벼워집니다"""
Config_Reb_093_Select_0#0,"""낮음"""
Config_Reb_093_Select_1#0,"""중간"""
Config_Reb_093_Select_2#0,"""높음"""
Config_Reb_094_Name#0,"""파티클 품질"""
Config_Reb_094_Hint#0,"""이펙트의 파티클(입자)를<br>얼마나 정밀하게 묘사할지 설정합니다.<br><br>수치를 낮추면 처리가 다소 가벼워집니다."""
Config_Reb_095_Name#0,"""퍼 표현"""
Config_Reb_095_Hint#0,"""일부 코스튬이나 캐릭터의 모피와 모발<br>등을 좀 더 정밀하게 묘사하는 기능의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_096_Name#0,"""안티 스페큘러 에일리어싱"""
Config_Reb_096_Hint#0,"""광택 표현의 노이즈를 줄이고<br>더욱 선명하게 묘사하는 기능의<br>ON/OFF를 설정합니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_097_Name#0,"""글로벌 일루미네이션"""
Config_Reb_097_Hint#0,"""자연스러운 조명 효과를 통해<br>화면 전체를 더 예쁘게 보이는 효과의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다.<br><br><yellow>※재로그인 후 변경이 적용됩니다.<c>"""
Config_Reb_098_Name#0,"""테셀레이션"""
Config_Reb_098_Hint#0,"""일부 지형의 기복을 더욱 정밀하게 묘사는 기능의<br>ON/OFF를 설정합니다.<br><br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_099_Name#0,"""V-Sync"""
Config_Reb_099_Hint#0,"""화면 표시의 어긋남을 억제하는 기능입니다.<br><br>프레임 레이트가 디스플레이의<br>리프레시 레이트보다 낮은 경우엔<br>자동으로 무효가 됩니다."""
Config_Reb_099_Select_0#0,"""OFF"""
Config_Reb_099_Select_1#0,"""ON"""
Config_Reb_099_Select_2#0,"""강제 ON"""
Config_Reb_100_Name#0,"""텍스쳐 필터링"""
Config_Reb_100_Hint#0,"""텍스처의 부드러움을 설정합니다.<br><br>설정에 따라 처리 부하가 다르며<br>\""바이리니어\""로 하면 처리가 약간 가벼워집니다.<br><br><yellow>※재로그인 후 변경사항이 적용됩니다.<c>"""
Config_Reb_100_Select_0#0,"""바이리니어"""
Config_Reb_100_Select_1#0,"""트라이니어"""
Config_Reb_100_Select_2#0,"""이방성x4"""
Config_Reb_100_Select_3#0,"""이방성x8"""
Config_Reb_100_Select_4#0,"""이방성x16"""
Config_Reb_101_Name#0,"""텍스쳐 렌더링"""
Config_Reb_101_Hint#0,"""텍스쳐의 해상도를 설정합니다.<br>설정을 \""낮음\""으로 하면 처리가 약간 가벼워집니다.<br><yellow>※재로그인 후 변경사항이 적용됩니다.<c>"""
Config_Reb_101_Select_0#0,"""낮음"""
Config_Reb_101_Select_1#0,"""중간"""
Config_Reb_101_Select_2#0,"""높음"""
Config_Reb_101_Select_3#0,"""최고"""
Config_Reb_102_Name#0,"""최대 프레임 레이트"""
Config_Reb_102_Hint#0,"""최대 프레임 레이트를 설정합니다."""
Config_Reb_102_Select_0#0,"""무제한"""
Config_Reb_102_Select_1#0,"""30fps"""
Config_Reb_102_Select_2#0,"""60fps"""
Config_Reb_102_Select_3#0,"""90fps"""
Config_Reb_102_Select_4#0,"""120fps"""
Config_Reb_102_Select_5#0,"""144fps"""
Config_Reb_102_Select_6#0,"""165fps"""
Config_Reb_103_Name#0,"""지형 등의 표시 거리"""
Config_Reb_103_Hint#0,"""상세한 지형이나 에너미 등의<br>표시 거리를 설정합니다.<br><br>수치를 낮추면 처리가 다소 가벼워집니다.<br><yellow>※재로그인 후 변경사항이 적용됩니다.<c>"""
Config_Reb_104_Name#0,"""비 활성화 시 프레임율 제한"""
Config_Reb_104_Hint#0,"""게임 화면이 활성화 되어 있지 않을 때<br>프레임율을 내리고 처리를 가볍게 하는 기능의<br>ON/OFF를 변경합니다."""
Config_Reb_104_Choices_0#0,"""무효"""
Config_Reb_104_Choices_1#0,"""有効"""
Config_Reb_105_Name#0,"""画面の明るさ"""
Config_Reb_105_Hint#0,"""画面の明るさを설정합니다.<br>数値を下げると画面全体の明るさを<br>おさえることができます。"""
Config_Reb_107_Name#0,"""주변に装備を見せる"""
Config_Reb_107_Hint#0,"""주변に装備が見えるようにするか설정합니다."""
Config_Reb_107_Select_0#0,"""見えない"""
Config_Reb_107_Select_1#0,"""見える"""
Config_Reb_109_Name#0,"""간단 그래픽 설정"""
Config_Reb_109_Hint#0,"""그래픽을 일괄 설정합니다."""
Config_Reb_109_Select_0#0,"""변경"""
Config_Reb_043_Name#0,"""다이브 어택 동시입력 발동"""
Config_Reb_043_Select_0#0,"""사용 안함"""
Config_Reb_043_Select_1#0,"""사용"""
Config_Reb_043_Hint#0,"""다이브 어택을<%Jump>＋<%NormalAttack>로 발동할지를 설정합니다.<br>※다이브 어택은 서브 팔레트로 설정해<br> 사용할 수 있습니다."""
Config_Reb_110_Name#0,"""타인의 악세서리 숨기기 기능"""
Config_Reb_110_Select_0#0,"""사용 안함"""
Config_Reb_110_Select_1#0,"""블록 리스트 대상자"""
Config_Reb_110_Select_2#0,"""모든 캐릭터"""
Config_Reb_110_Hint#0,"""다른 캐릭터의 악세서리를<br><yellow>숨김<c>으로 할지 설정합니다."""
Config_Reb_111_Name#0,"""フォトンブラスト표시数"""
Config_Reb_111_Hint#0,"""フォトンブラストの표시数を설정합니다.<br>数値を下げると処理が多少軽くなります。<br>"""
Config_Reb_112_Name#0,"""이펙트 왜곡 표현"""
Config_Reb_112_Hint#0,"""이펙트가 공간을 왜곡시키는 효과의<br>ON/OFF를 전환합니다.<br>OFF로 설정할 경우 처리가 다소 가벼워집니다."""
Config_Reb_113_Name#0,"""3D 렌더링 해상도"""
Config_Reb_113_Hint#0,"""3D 표시의 해상도를 성정합니다.<br><br>설정을 \""낮음\""으로 하면 처리가 다소 가벼워집니다."""
Config_Reb_113_Select_0#0,"""낮음"""
Config_Reb_113_Select_1#0,"""중간"""
Config_Reb_113_Select_2#0,"""높음 (표준)"""
Config_Reb_115_Name#0,"""에스테 체형 변경 동기 설정 2"""
Config_Reb_115_Choices_0#0,"""자동 변환 하기"""
Config_Reb_115_Choices_1#0,"""개별로 편집하기"""
Config_Reb_115_Hint#0,"""에스테에서 코스튬이나 캐스트<br>파츠 등을 변경할 때<br><yellow><PSO2:NGS>와 <PSO2>의 체형<c>을<br>자동으로 변환할지<br>개별적으로 편집할지 설정합니다."""
Config_Reb_116_Name#0,"""태스크 수주 시 가이드 전환"""
Config_Reb_116_Hint#0,"""NPC에게서 태스크를 수주했을 때<br>가이드 정보를 자동으로 전환할지 설정합니다."""
Config_Reb_116_Select_0#0,"""전환하지 않음"""
Config_Reb_116_Select_1#0,"""전환한다"""
Config_Reb_045_Name#0,"""일반 시점 : 마우스의 회전 속도 보정"""
Config_Reb_045_Hint#0,"""마우스 조작 시 카메라의 회전 속도를 설정합니다.<br>수치를 낮추면 회전 속도가 느려집니다.<br><br><yellow>※일반 시점에만 적용됩니다.<c>"""
Config_Reb_046_Name#0,"""TPS 시점 : 마우스의 회전 속도 보정"""
Config_Reb_046_Hint#0,"""마우스 조작 시 카메라의 회전 속도를 설정합니다.<br>수치를 낮추면 회전 속도가 느려집니다.<br><br><yellow>※TPS 시점에만 적용됩니다.<c>"""
Config_Reb_088_Name#0,"""그룹 채팅 초대"""
Config_Reb_088_Hint#0,"""그룹 채팅 초대를 받을지 설정합니다.<br><br><yellow>※\""받지않음\""을 선택하면<br>\u3000다른 플레이어의<br>\u3000\""초대\""를 수신하지 않게 됩니다.<c>"""
Config_Reb_088_Select_0#0,"""받음"""
Config_Reb_088_Select_1#0,"""받지않음"""
Config_Reb_122_Name#0,"""로그 윈도우\""전체 표시\""에 표시: 주변"""
Config_Reb_122_Hint#0,"""로그 윈도우의 \""전체 표시\"" 탭에<br>\""주변\""의 채널에서의 채팅을<br>표시할지 설정합니다."""
Config_Reb_123_Name#0,"""로그 윈도우\""전체 표시\""에 표시: 파티"""
Config_Reb_123_Hint#0,"""로그 윈도우의 \""전체 표시\"" 탭에<br>\""파티\""의 채널에서의 채팅을<br>표시할지 설정합니다."""
Config_Reb_124_Name#0,"""로그 윈도우\""전체 표시\""에 표시: 팀"""
Config_Reb_124_Hint#0,"""로그 윈도우의 \""전체 표시\"" 탭에<br>\""팀\""의 채널에서의 채팅을<br>표시할지 설정합니다."""
Config_Reb_125_Name#0,"""로그 윈도우\""전체 표시\""에 표시: 귓속말"""
Config_Reb_125_Hint#0,"""로그 윈도우의 \""전체 표시\"" 탭에<br>\""귓속말\""의 채널에서의 채팅을<br>표시할지 설정합니다."""
Config_Reb_126_Name#0,"""로그 윈도우\""전체 표시\""에 표시: 시스템"""
Config_Reb_126_Hint#0,"""로그 윈도우의 \""전체 표시\"" 탭에<br>\""시스템\""의 채널에서의 채팅을<br>표시할지 설정합니다."""
Config_Reb_127_Name#0,"""로그 윈도우\""전체 표시\""에 표시: 캐릭터"""
Config_Reb_127_Hint#0,"""로그 윈도우의 \""전체 표시\"" 탭에<br>\""캐릭터\""의 채널에서의 채팅을<br>표시할지 설정합니다."""
Config_Reb_128_Name#0,"""로그 윈도우\""전체 표시\""에 표시: 그룹"""
Config_Reb_128_Hint#0,"""로그 윈도우의 \""전체 표시\"" 탭에<br>\""그룹 (그룹 채팅)\""의<br>채널에서의 채팅을 표시할지 설정합니다."""
Config_Reb_130_Name#0,"""그룹 채팅 초대 알림"""
Config_Reb_130_Hint#0,"""그룹 채팅에 초대되었을 때<br>참가 선택 윈도우를 표시할지 설정합니다."""
Config_Reb_131_Name#0,"""스탬프 표시"""
Config_Reb_131_Hint#0,"""스탬프를 표시할지 설정합니다."""
Config_Reb_131_Select_0#0,"""표시안함"""
Config_Reb_131_Select_1#0,"""표시"""
Config_Reb_131_Select_2#0,"""말풍선만 표시하기"""
Config_Reb_131_Select_3#0,"""채팅 로그에만 표시하기"""
Config_Reb_132_Name#0,"""다른 플레이어의 주위 채팅 표시"""
Config_Reb_132_Hint#0,"""다른 플레이어의 주위 채팅을<br>표시할지 설정합니다."""
Config_Reb_132_Select_0#0,"""표시하기"""
Config_Reb_132_Select_1#0,"""표시 안함"""
Config_Reb_133_Name#0,"""다른 플레이어의 파티 채팅 표시"""
Config_Reb_133_Hint#0,"""다른 플레이어의 파티 채팅을<br>표시할지 설정합니다."""
Config_Reb_133_Select_0#0,"""표시하기"""
Config_Reb_133_Select_1#0,"""표시 안함"""
Config_Reb_134_Name#0,"""프리 메시지 표시 설정"""
Config_Reb_134_Hint#0,"""다른 플레이어가 설정하고 있는<br>온라인 스테이터스의 프리 메시지를<br>표시할지 설정합니다."""
Config_Reb_134_Select_0#0,"""표시하기"""
Config_Reb_134_Select_1#0,"""표시 안함"""
Config_Reb_135_Name#0,"""다른 플레이어의 귓속말 채팅 표시"""
Config_Reb_135_Hint#0,"""다른 플레이어의 귓속말 채팅을<br>표시할지 설정합니다."""
Config_Reb_135_Select_0#0,"""표시하기"""
Config_Reb_135_Select_1#0,"""표시 안함"""
Config_Reb_136_Name#0,"""다른 플레이어의 그룹 채팅 표시"""
Config_Reb_136_Hint#0,"""다른 플레이어의 그룹 채팅을<br>표시할지 설정합니다."""
Config_Reb_136_Select_0#0,"""표시하기"""
Config_Reb_136_Select_1#0,"""표시 안함"""
Config_Reb_137_Select_0#0,"""표시하기"""
Config_Reb_137_Select_1#0,"""표시 안함"""
Config_Reb_139_Name#0,"""NVIDIA DLSS"""
Config_Reb_139_Hint#0,"""NVIDIA Deep Learning Super Sampling을<br>사용할지 설정합니다.<br><br>DLSS를 사용하면<br>화면 처리 부하를 낮춘 후<br>최대 그래픽 설정으로 가능한 최고의<br>프레임 레이트를 달성하도록 조정됩니다.<br><br><yellow>※DLSS를 사용하려면 NVIDIA사의<br>\u3000RTX그래픽 카드가 필요합니다.<c>"""
Config_Reb_139_Select_0#0,"""OFF"""
